idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
1195	Dernæst fik jeg 200 kr. for en arbejdsdag på ti timer .	dernæst fik jeg 200 kr. for en arbejdsdag på ti timer	O C O O O O O O O O O	dernæst jeg 200 kr. for en arbejdsdag på ti timer fik	O O O O O O O O O O F
1196	"Jeg frygter , der er mange dræbte , "" sagde en talsmand for politiet , Klaaf Wilting ."	jeg frygter der er mange dræbte sagde en talsmand for politiet klaaf wilting	O C O C O C C O O O O O O	jeg frygter der mange er dræbte sagde en talsmand for politiet klaaf wilting	O C O O F C C O O O O O O
1197	Vinder samfundet kun lidt ved denne lov , taber de gamle og handicappede så meget mere .	vinder samfundet kun lidt ved denne lov taber de gamle og handicappede så meget mere	C O O O O O O C O O O O O O O	vinder samfundet kun lidt ved denne lov de taber gamle og handicappede så meget mere	C O O O O O O O F O O O O O O
1198	Kikker ud ad vinduet mod de snedækkede Hindu Kush bjerge .	kikker ud ad vinduet mod de snedækkede hindu kush bjerge	C O O O O O O O O O	ud ad vinduet mod de snedækkede hindu kush bjerge kikker	O O O O O O O O O F
1199	Han skynder sig at tilføje , at han ikke har noget imod indvandrere , han har også sine venner blandt dem .	han skynder sig at tilføje at han ikke har noget imod indvandrere han har også sine venner blandt dem	O C O O C O O O C O O O O C O O O O O	han skynder sig tilføje at har at han ikke noget imod indvandrere har han også sine venner blandt dem	O C O F O F O O O O O O F O O O O O O
1200	Harremoës er inkarneret sejlsportsmand , der hvert år sejler Sjælland Rundt med sin søn .	harremoës er inkarneret sejlsportsmand der hvert år sejler sjælland rundt med sin søn	O C O O O O O C O O O O O	harremoës er inkarneret sejlsportsmand sejler der hvert år sjælland rundt med sin søn	O C O O F O O O O O O O O
1201	Det kan godt være , der ikke er 117 fejl , men der er i hvert fald disse her : 1 .	det kan godt være der ikke er 117 fejl men der er i hvert fald disse her 1	O C O C O O C O O O O C O O O O O O	det kan godt være der ikke er 117 fejl men der i hvert fald disse er her 1	O C O C O O C O O O O O O O O F O O
1202	Verdens-pressen bestormer den 27-årige målkonge .	verdens-pressen bestormer den 27-årige målkonge	O C O O O	verdens-pressen den 27-årige målkonge bestormer	O O O O F
1203	Han fortæller , at udviklingen i Sydkina kører så hurtigt , at man taber pusten .	han fortæller at udviklingen i sydkina kører så hurtigt at man taber pusten	O C O O O O C O O O O C O	han fortæller at udviklingen i sydkina kører så hurtigt at man pusten taber	O C O O O O C O O O O O F
1204	Man noterer sig straks , at de største er de nemmeste i sportens verden .	man noterer sig straks at de største er de nemmeste i sportens verden	O C O O O O O C O O O O O	man sig straks at de største er de noterer nemmeste i sportens verden	O O O O O O F O F O O O O
1205	HENRY HEERUP , berømt billedkunstner , har tegnet årets kunstnersmykke for Smykkekæden .	henry heerup berømt billedkunstner har tegnet årets kunstnersmykke for smykkekæden	O O O O C C O O O O	henry heerup berømt billedkunstner har tegnet årets kunstnersmykke for smykkekæden	O O O O C C O O O O
1206	Lyden af fx bølgeslag kan de opfange på lang afstand og derved vide , hvor kystlinien er .	lyden af fx bølgeslag kan de opfange på lang afstand og derved vide hvor kystlinien er	O O O O C O C O O O O O C O O C	lyden af fx bølgeslag opfange kan de på lang afstand derved og vide hvor kystlinien er	O O O O F F O O O O O O C O O C
1207	Det armenske kvarter bliver sikkert bevogtet af soldater .	det armenske kvarter bliver sikkert bevogtet af soldater	O O O C O C O O	det armenske kvarter bevogtet bliver sikkert af soldater	O O O F F O O O
1208	Vedvarende reprimander har hjulpet så meget som den berømte skrædder i helvede .	vedvarende reprimander har hjulpet så meget som den berømte skrædder i helvede	O O C C O O O O O O O O	vedvarende reprimander har hjulpet så meget som den berømte skrædder i helvede	O O C C O O O O O O O O
1209	""" Vi har netop valgt Jette Dreyer Hughes' bureau , fordi hun er uddannet psykolog ."	vi har netop valgt jette dreyer hughes' bureau fordi hun er uddannet psykolog	O C O C O O O O O O C C O	vi netop er jette dreyer hughes' bureau har fordi hun uddannet valgt psykolog	O O F O O O O F O O F F O
1210	Hun ville ikke stille sin skam og ydmygelse åbenlyst til skue for hele familien .	hun ville ikke stille sin skam og ydmygelse åbenlyst til skue for hele familien	O C O C O O O O O O O O O O	hun ville ikke stille sin skam og ydmygelse åbenlyst til skue for hele familien	O C O C O O O O O O O O O O
1211	Denne roman er nu blevet den første Helle-Stangerup-udgivelse på forfatterens nye forlag Lindhardt & Ringhof , og forlaget søger at tiltrække læserne ved at udgive bogen i stift bind - en såkaldt hardback .	denne roman er nu blevet den første helle-stangerup-udgivelse på forfatterens nye forlag lindhardt ringhof og forlaget søger at tiltrække læserne ved at udgive bogen i stift bind en såkaldt hardback	O O C O C O O O O O O O O O O O C O C O O O C O O O O O O O	denne roman er nu blevet den første helle-stangerup-udgivelse på forfatterens nye forlag lindhardt ringhof søger og forlaget tiltrække at læserne ved at udgive bogen i stift bind en såkaldt hardback	O O C O C O O O O O O O O O F O O F O O O O C O O O O O O O
1212	Sammen med skoler fra alle de andre Østersølande skal vi i en 5-årig periode undersøge Østersøens miljø .	sammen med skoler fra alle de andre østersølande skal vi i en 5-årig periode undersøge østersøens miljø	O O O O O O O O C O O O O O C O O	sammen med skoler skal fra alle de andre østersølande vi i en 5-årig periode undersøge østersøens miljø	O O O F O O O O O O O O O O C O O
1213	De opfatter det som en hån , at unge knægte udstyret med maskinpistoler skulle være det bedste middel mod mafiaen .	de opfatter det som en hån at unge knægte udstyret med maskinpistoler skulle være det bedste middel mod mafiaen	O C O O O O O O O C O O C C O O O O O	de opfatter det som en hån at unge knægte skulle med maskinpistoler det udstyret bedste være middel mod mafiaen	O C O O O O O O O F O O O F O F O O O
1214	var bange for at blive de næste .	var bange for at blive de næste	C O O O C O O	var bange for at blive de næste	C O O O C O O
1215	Hakket kød til torsdagens lammepostej koster 90 kr. pr. kg , men så er det også skært .	hakket kød til torsdagens lammepostej koster 90 kr. pr. kg men så er det også skært	C O O O O C O O O O O O C O O O	kød til torsdagens lammepostej hakket er 90 kr. pr. kg men koster så det også skært	O O O O F F O O O O O F O O O O
1216	I gruppen var man klar over , at det ( stoppet , red. ) var juridisk uholdbart .	i gruppen var man klar over at det stoppet red. var juridisk uholdbart	O O C O O O O O O O C O O	i gruppen var man klar over at det stoppet red. var juridisk uholdbart	O O C O O O O O O O C O O
1217	"Samtidig er han meget fair på banen , og jeg kan ikke mindes , jeg har haft "" problemer "" med ham under træning eller i løb ."	samtidig er han meget fair på banen og jeg kan ikke mindes jeg har haft problemer med ham under træning eller i løb	O C O O O O O O C C O O O O O O O O O O C O C	samtidig er han meget fair på banen jeg har haft problemer med ham under træning eller i løb mindes og jeg kan ikke	O C O O O O O O C C O O O O O O O O F O O F O
1218	"Duetten var kærlighedstemaet , "" Up Where We Belong fra filmen "" An Officer & A Gentleman "" , og han sang den sammen med Jennifer Warnes ."	duetten var kærlighedstemaet up where we belong fra filmen an officer a gentleman og han sang den sammen med jennifer warnes	O C O O O O O O O O O O O O O C O O O O O	duetten kærlighedstemaet up where we belong var fra filmen an officer a gentleman og han sang den sammen med jennifer warnes	O O O O O O F O O O O O O O O C O O O O O
1219	For de fleste går dagen uden pauser .	for de fleste går dagen uden pauser	O O O C O O O	for de fleste dagen uden pauser går	O O O O O O F
1220	"Jeg bryder mig ikke om at blive fremhævet , for det gør lige så ondt på alle andre bestjålne i området . """	jeg bryder mig ikke om at blive fremhævet for det gør lige så ondt på alle andre bestjålne i området	O C O O O O C C O O C O O O O O O C O O	jeg bryder mig ikke om at blive fremhævet for det bestjålne lige gør så ondt på alle andre i området	O C O O O O C C O O F O F O O O O O O O
1221	Læs lige sætningen een gang til .	læs lige sætningen een gang til	C O O O O O	lige sætningen een gang til læs	O O O O O F
1222	Hun afløser Orla Speyermann-Petersson fra Sillerup , der har ledet skolen i de sidste fire år .	hun afløser orla speyermann-petersson fra sillerup der har ledet skolen i de sidste fire år	O C O O O O O C C O O O O O O	hun afløser orla speyermann-petersson fra sillerup der har ledet skolen i de sidste fire år	O C O O O O O C C O O O O O O
1223	Henrik er fuld af energi , men optagelsen på teaterskolen blev smertefuld for ham .	henrik er fuld af energi men optagelsen på teaterskolen blev smertefuld for ham	O C O O O O O O O C O O O	henrik er fuld af energi men optagelsen på teaterskolen smertefuld for ham blev	O C O O O O O O O O O O F
1224	- Hvad skal du lave på lørdag i næste uge ?	hvad skal du lave på lørdag i næste uge	O C O C O O O O O	hvad lave skal du på lørdag i næste uge	O F F O O O O O O
1225	Der forskes på utallige områder , og der er mange resultater , der tyder på lovende produktioner i Danmark og i udlandet .	der forskes på utallige områder og der er mange resultater der tyder på lovende produktioner i danmark og i udlandet	O C O O O O O C O O O C O O O O O O O O	der forskes på utallige områder er og der mange resultater der på lovende produktioner i danmark og tyder i udlandet	O C O O O F O O O O O O O O O O O F O O
1226	Vi burde tage os af ham lige her i retssalen .	vi burde tage os af ham lige her i retssalen	O C C O O O O O O O	vi burde tage os af ham lige her i retssalen	O C C O O O O O O O
1227	En gren slår hele tiden imod gavlvinduet .	en gren slår hele tiden imod gavlvinduet	O O C O O O O	en gren hele tiden imod gavlvinduet slår	O O O O O O F
1228	Fiats topmodel , den store mellemklassebil Croma - der deler karosseri med Saab 9000 - er nylig faceliftet og har ikke alene ændret ydre , men har også fået bedre egenskaber .	fiats topmodel den store mellemklassebil croma der deler karosseri med saab 9000 er nylig faceliftet og har ikke alene ændret ydre men har også fået bedre egenskaber	O O O O O O C O O O C O O C O O C O C O O O C O O O O	fiats topmodel den store mellemklassebil croma nylig fået ændret faceliftet og er ikke alene har ydre men har også bedre egenskaber der deler karosseri med saab 9000	O O O O O O O F F O O F O O F O O F O O O O C O O O O
1229	Den tidligere så omfangsrige Kosan-gruppe er spredt for alle vinde .	den tidligere så omfangsrige kosan-gruppe er spredt for alle vinde	O O O O O C O O O O	den tidligere så omfangsrige kosan-gruppe er spredt for alle vinde	O O O O O C O O O O
1230	Selv opdager jeg vist kun et fåtal af alle rygterne , fordi jeg kun en sjælden gang køber en tyrkisk avis af hensyn til TV-programmerne .	selv opdager jeg vist kun et fåtal af alle rygterne fordi jeg kun en sjælden gang køber en tyrkisk avis af hensyn til tv-programmerne	O C O O O O O O O O O O O O O O C O O O O O O O	selv opdager jeg vist kun et fåtal af alle rygterne fordi jeg kun en sjælden gang køber en tyrkisk avis af hensyn til tv-programmerne	O C O O O O O O O O O O O O O O C O O O O O O O
1231	At hun fandt sig i alt .	at hun fandt sig i alt	O O C O O O	at hun fandt sig i alt	O O C O O O
1232	Der er nemlig ikke én eneste premiere i de danske biografer , og dermed har filmanmelderens tilværelse momentant mistet sin mening .	der er nemlig ikke én eneste premiere i de danske biografer og dermed har filmanmelderens tilværelse momentant mistet sin mening	O C O O O O O O O O O O O C O O O C O O	der nemlig ikke én eneste premiere er i de danske biografer og dermed filmanmelderens tilværelse mistet momentant har sin mening	O O O O O O F O O O O O O O O F O F O O
1233	så er der en pause på 5 år indtil VIVALDIS største sucses de fire årstider kommer .	så er der en pause på 5 år indtil vivaldis største sucses de fire årstider kommer	O C O O O O O O O O O O O O O C	så er der en pause på 5 år indtil vivaldis største sucses de fire årstider kommer	O C O O O O O O O O O O O O O C
1234	Der blev afprøvet en masse ting .	der blev afprøvet en masse ting	O C C O O O	der blev afprøvet en masse ting	O C C O O O
1235	Noget er gået til skat .	noget er gået til skat	O C C O O	noget er gået til skat	O C C O O
1236	Og de forskellige fald , hun har haft , bl.a. i Rebild Bakker , kan medføre , at hun har vanskeligt ved at styre de bløde knæskaller .	og de forskellige fald hun har haft bl.a. i rebild bakker kan medføre at hun har vanskeligt ved at styre de bløde knæskaller	O O O O O C C O O O O C C O O C O O O C O O O	og medføre de haft forskellige fald kan hun bl.a. i rebild bakker har at hun har vanskeligt ved at styre de bløde knæskaller	O F O F O O F O O O O O F O O C O O O C O O O
1237	Denne gang på godt engelsk , som er det sprog , den udfrittende danske journalist bedst kan gøre sig forståelig på .	denne gang på godt engelsk som er det sprog den udfrittende danske journalist bedst kan gøre sig forståelig på	O O O O O O C O O O C O O O C C O O O	denne gang på godt engelsk som er det sprog den danske journalist bedst gøre kan udfrittende sig forståelig på	O O O O O O C O O O O O O F C F O O O
1238	Efter en uge i træningslejr i Akureyri i Island - dog ikke i telt - er Mie Graversen , Olga Osetrova , Karo Thomsen og Susan Frankenstein nu begyndt marchen over Grønland	efter en uge i træningslejr i akureyri i island dog ikke i telt er mie graversen olga osetrova karo thomsen og susan frankenstein nu begyndt marchen over grønland	O O O O O O O O O O O O O C O O O O O O O O O O C O O O	efter en uge i træningslejr i akureyri i island dog ikke i telt mie graversen olga osetrova karo er thomsen og susan frankenstein begyndt nu marchen over grønland	O O O O O O O O O O O O O O O O O O F O O O O F O O O O
1239	Det lille svind skyldes , at det lidt stejle bagsæde-ryglæn er skudt 15 mm frem .	det lille svind skyldes at det lidt stejle bagsæde-ryglæn er skudt 15 mm frem	O O O C O O O O O C C O O O	det lille svind skyldes at det lidt stejle bagsæde-ryglæn er skudt 15 mm frem	O O O C O O O O O C C O O O
1240	22.000 FN-folk bliver i løbet af i år sat ind i Cambodia for at styre landet imod frie valg i foråret 1993 .	22.000 fn-folk bliver i løbet af i år sat ind i cambodia for at styre landet imod frie valg i foråret 1993	O O C O O O O O C O O O O O C O O O O O O O	22.000 fn-folk i løbet af i år sat bliver ind i cambodia for styre at landet imod frie valg i foråret 1993	O O O O O O O F F O O O O F O O O O O O O O
1241	Det er nogle meget glædelige oplysninger .	det er nogle meget glædelige oplysninger	O C O O O O	det er nogle meget glædelige oplysninger	O C O O O O
1242	Han har sagt , at sandheden aldrig er smuk , men at den tit er morsom .	han har sagt at sandheden aldrig er smuk men at den tit er morsom	O C C O O O C O O O O O C O	han er har er at sandheden aldrig smuk men at den tit sagt morsom	O F F F O O O O O O O O F O
1243	Men jeg har fået en modtagelse , som har været uhyre inspirerende i sig selv .	men jeg har fået en modtagelse som har været uhyre inspirerende i sig selv	O O C C O O O C C O C O O O	men jeg har fået en modtagelse som har været uhyre inspirerende i sig selv	O O C C O O O C C O C O O O
1244	Da Mai Buch tiltrådte stillingen som underdirektør på Det Kgl. Teater med ansvar for økonomien lød en af hendes paroler , at effektivisering skulle opnås gennem bedre arbejdsvilkår for de ansatte .	da mai buch tiltrådte stillingen som underdirektør på det kgl. teater med ansvar for økonomien lød en af hendes paroler at effektivisering skulle opnås gennem bedre arbejdsvilkår for de ansatte	O O O C O O O O O O O O O O O C O O O O O O C C O O O O O C	da tiltrådte mai buch stillingen som underdirektør på det kgl. teater med ansvar for økonomien lød en af hendes paroler at effektivisering gennem bedre arbejdsvilkår for de opnås skulle ansatte	O F O O O O O O O O O O O O O C O O O O O O O O O O O F F C
1245	Liselotte lå og prøvede at få rede på sine tanker .	liselotte lå og prøvede at få rede på sine tanker	O C O C O C O O O O	liselotte lå og prøvede at rede få på sine tanker	O C O C O O F O O O
1246	Han har , sammen med socialrådgiver Gerda Kirchhoff , stået for undersøgelsen af de 23 overlevende patienter ( 20 mænd og tre kvinder ) .	han har sammen med socialrådgiver gerda kirchhoff stået for undersøgelsen af de 23 overlevende patienter 20 mænd og tre kvinder	O C O O O O O C O O O O O C O O O O O O	han sammen med socialrådgiver gerda kirchhoff overlevende for undersøgelsen stået har af de 23 patienter 20 mænd og tre kvinder	O O O O O O F O O F F O O O O O O O O O
1247	"Torben Vest , der bestyrer tøjforretningen Jørgen og Jørgine i centret supplerer : "" I vores første udsalgsuge lå omsætningen 20 pct. under sidste års , og selv om vi nu sætter priserne endnu længere ned og ofrer mere på markedsføring , ender det nok med en 10 pct.s nedgang i hele udsalgsperioden i forhold til sidste år . """	torben vest der bestyrer tøjforretningen jørgen og jørgine i centret supplerer i vores første udsalgsuge lå omsætningen 20 pct. under sidste års og selv om vi nu sætter priserne endnu længere ned og ofrer mere på markedsføring ender det nok med en 10 pct.s nedgang i hele udsalgsperioden i forhold til sidste år	O O C O C O O O O O O O O O O C O O O O O O O C O O O O O O O O O O O O O O O O O O O C O O O O O C O O O	torben vest supplerer der bestyrer tøjforretningen jørgen og jørgine i centret i vores første udsalgsuge lå omsætningen 20 pct. under sidste års og det nok med en 10 pct.s nedgang i hele udsalgsperioden ender i forhold til sidste år selv om vi nu priserne endnu længere ned sætter og ofrer mere på markedsføring	O O C O C O O O O O O O O O O C O O O O O O O O O O O O O O O O O F O O O O O O O O O O O O O F O C O O O
1248	Mange kvinder ønsker at holde op med P-pillerne , når de er i slutningen af 40'erne .	mange kvinder ønsker at holde op med p-pillerne når de er i slutningen af 40'erne	O O C O C O O O O O C O O O O	mange kvinder ønsker at op med p-pillerne holde når de er i slutningen af 40'erne	O O C O O O O F O O C O O O O
1249	En grusom proces , som de danske FN-soldater har været øjenvidner til på nærmeste hold .	en grusom proces som de danske fn-soldater har været øjenvidner til på nærmeste hold	O O O O O O O C C O O O O O	en grusom proces som været de danske fn-soldater øjenvidner til på nærmeste hold har	O O O O F O O O O O O O O F
1250	Hans bøger bliver anmeldt .	hans bøger bliver anmeldt	O O C C	hans bøger bliver anmeldt	O O C C
1251	Knæet er også årsag til , at Dronningen endnu ikke ved , om hun kan gennemføre sin årlige skitur i Norge .	knæet er også årsag til at dronningen endnu ikke ved om hun kan gennemføre sin årlige skitur i norge	O C O O O O O O O C O O C C O O O O O	knæet er også årsag til ved at dronningen endnu ikke om kan hun gennemføre sin årlige skitur i norge	O C O O O F O O O O O F O C O O O O O
1252	Den viser , at man sagtens kan tage hånd om sine børnebørn , selv om man er oppe i årene .	den viser at man sagtens kan tage hånd om sine børnebørn selv om man er oppe i årene	O C O O O C C O O O O O O O C O O O	den viser at kan man sagtens hånd tage om sine børnebørn selv om er man oppe i årene	O C O F O O O F O O O O O F O O O O
1253	""" Misbruget kom snigende , for man bliver ikke alkoholiker fra den ene dag til den anden ."	misbruget kom snigende for man bliver ikke alkoholiker fra den ene dag til den anden	O C C O O C O O O O O O O O O	misbruget kom snigende for man ikke alkoholiker fra den ene dag til den anden bliver	O C C O O O O O O O O O O O F
1254	Hun hørte barneskrig ude fra gangen , og det fik det til at give et sæt i hende .	hun hørte barneskrig ude fra gangen og det fik det til at give et sæt i hende	O C O O O O O O C O O O C O O O O	hun barneskrig ude fra gangen hørte og det fik det give til at et sæt i hende	O O O O O F O O C O F O O O O O O
1255	Danskernes forbrug af smertestillende håndkøbsmedicin er så alarmerende stort , at det for mange er det rene misbrug , mener embedslæge Niels Agdal , Randers .	danskernes forbrug af smertestillende håndkøbsmedicin er så alarmerende stort at det for mange er det rene misbrug mener embedslæge niels agdal randers	O O O O O C O C O O O O O C O O O O C O O O	danskernes forbrug af smertestillende håndkøbsmedicin er stort mener embedslæge niels agdal randers så at det for alarmerende mange er det rene misbrug	O O O O O C O C O O O O O O O O F O C O O O
1256	og 3 røgede sild til forretten torsdag 18 kr. .	og 3 røgede sild til forretten torsdag 18 kr.	O O C O O O O O O	og 3 røgede sild til forretten torsdag 18 kr.	O O C O O O O O O
1257	Så gik jeg stille og roligt tilbage igen , åbnede døren og kikkede ind .	så gik jeg stille og roligt tilbage igen åbnede døren og kikkede ind	O C O O O O O O C O O C O	så gik jeg stille og roligt tilbage igen åbnede døren kikkede og ind	O C O O O O O O C O F O O
1258	Han skulle lige vise sine færdigheder før DM-finalen i Middelfart , som han venter sig meget af .	han skulle lige vise sine færdigheder før dm-finalen i middelfart som han venter sig meget af	O C O C O O O O O O O O C O O O	han vise lige skulle sine færdigheder før dm-finalen i middelfart som venter han sig meget af	O F O F O O O O O O O F O O O O
1259	- I 2. klasse fik jeg at vide , at jeg var ordblind , og i årene derefter fik jeg specialundervisning i lange baner , og jeg kløede på , så godt jeg kunne .	i 2. klasse fik jeg at vide at jeg var ordblind og i årene derefter fik jeg specialundervisning i lange baner og jeg kløede på så godt jeg kunne	O O O C O O C O O C O O O O O C O O O O O O O C O O O O C	i 2. klasse jeg fik at vide at jeg var ordblind og i årene derefter jeg specialundervisning i lange baner fik og jeg på kløede så godt jeg kunne	O O O O F O C O O C O O O O O O O O O O F O O O F O O O C
1260	""" Lars kantede sig ind foran mig ."	lars kantede sig ind foran mig	O C O O O O	lars kantede sig ind foran mig	O C O O O O
1261	"Garanti kan jeg jo desværre ikke give dem for succes på de to 80-kubik'ere , men nu er de med , og jeg vil gøre alt for at støtte og træne dem , så deres interesse for roadracing ikke forsvinder , "" siger Claus Wulff ."	garanti kan jeg jo desværre ikke give dem for succes på de to 80-kubik'ere men nu er de med og jeg vil gøre alt for at støtte og træne dem så deres interesse for roadracing ikke forsvinder siger claus wulff	O C O O O O C O O O O O O O O O C O O O O C C O O O C O O C O O O O O O C C O O	garanti kan jeg give er jo desværre ikke dem for succes på de to 80-kubik'ere men nu de med gøre og vil jeg alt for at dem støtte og træne så deres interesse for roadracing ikke forsvinder siger claus wulff	O C O F F O O O O O O O O O O O O O O F O C O O O O O F O C O O O O O O C C O O
1262	Unibank ligger i forvejen på laveste karakter i bedste gruppe , men risikerer nu at rykke ned i 2. division , hvad angår bankens værdipapirer med en løbetid på over et år .	unibank ligger i forvejen på laveste karakter i bedste gruppe men risikerer nu at rykke ned i 2. division hvad angår bankens værdipapirer med en løbetid på over et år	O C O O O O O O O O O C O O C O O O O O C O O O O O O O O O	unibank i forvejen på laveste karakter i bedste gruppe ligger risikerer men nu rykke at ned i 2. division hvad angår bankens værdipapirer med en løbetid på over et år	O O O O O O O O O F F O O F O O O O O O C O O O O O O O O O
1263	Feltet skrumpede ind med 50 pct. , tusindvis af tilskuere blev væk , fordi spændingen var gået tabt , og af samme grund blev en stor del af sportspressen også væk , så ACO stod tilbage med en renoveret bane og et helt nyt pitanlæg efter en millioninvestering - og en økonomisk bet så stor , at man slæbte FIA for en domstol for at få erstatning .	feltet skrumpede ind med 50 pct. tusindvis af tilskuere blev væk fordi spændingen var gået tabt og af samme grund blev en stor del af sportspressen også væk så aco stod tilbage med en renoveret bane og et helt nyt pitanlæg efter en millioninvestering og en økonomisk bet så stor at man slæbte fia for en domstol for at få erstatning	O C O O O O O O O C O O O C C C O O O O C O O O O O O O O O C O O O C O O O O O O O O O O O O O O O O O C O O O O O O C O	feltet ind med 50 pct. skrumpede tusindvis af tilskuere blev væk fordi spændingen var gået tabt og af samme grund en stor del blev af sportspressen også væk så aco tilbage med en renoveret bane stod og et helt nyt pitanlæg efter en millioninvestering og en økonomisk bet så stor at man fia for en domstol slæbte for at få erstatning	O O O O O F O O O C O O O C C C O O O O O O O F O O O O O O O O O F O F O O O O O O O O O O O O O O O O O O O O F O O C O
1264	Men Lars var så tæt ved en triumf , som det er muligt at komme , da han i 2. sæt ved 20-20 satsede alt på matchbold , men slog i nettet .	men lars var så tæt ved en triumf som det er muligt at komme da han i 2. sæt ved 20-20 satsede alt på matchbold men slog i nettet	O O C O O O O O O O C O O C O O O O O O O C O O O O C O O	men lars så tæt ved en triumf som det er var muligt at komme da han i 2. sæt ved 20-20 satsede alt på matchbold men slog i nettet	O O O O O O O O O F F O O C O O O O O O O C O O O O C O O
1265	""" Tilholderlåsen "" er en enkel , men sikker låsetype ."	tilholderlåsen er en enkel men sikker låsetype	O C O O O O O	tilholderlåsen en enkel er men sikker låsetype	O O O F O O O
1266	"Ham savner jeg virkelig . """	ham savner jeg virkelig	O C O O	ham jeg virkelig savner	O O O F
1267	Nu står det opstablet foran Nanas hus .	nu står det opstablet foran nanas hus	O C O O O O O	nu står det opstablet foran nanas hus	O C O O O O O
1268	Du skal nemlig være moster ...	du skal nemlig være moster ...	O C O C O O	du nemlig være moster skal ...	O O F O F O
1269	Fugle har en imponerende evne til at finde hjem , også over strækninger , de aldrig har set før .	fugle har en imponerende evne til at finde hjem også over strækninger de aldrig har set før	O C O O O O O C O O O O O O C C O	fugle har en imponerende evne til at finde hjem også over strækninger de aldrig har set før	O C O O O O O C O O O O O O C C O
1270	""" Imod det har vi de rigtige argumenter og de aktive nej-folk her , der og alle vegne ."	imod det har vi de rigtige argumenter og de aktive nej-folk her der og alle vegne	O O C O O O O O O O O O O O O O	imod det vi de rigtige argumenter og de aktive nej-folk her der og alle vegne har	O O O O O O O O O O O O O O O F
1271	Som altså fordeles på to kvadratmeter .	som altså fordeles på to kvadratmeter	O O C O O O	som altså på to kvadratmeter fordeles	O O O O O F
1272	""" Kina-kampen var en oplevelse , ingen af os nogen sinde vil glemme ."	kina-kampen var en oplevelse ingen af os nogen sinde vil glemme	O C O O O O O O O C C	kina-kampen var en oplevelse ingen glemme vil af os nogen sinde	O C O O O F F O O O O
1273	De fleste i Danmark , nemlig 100.000 eksemplarer , mens resten er fordelt pænt verden over med Japan og Australien som de største aftagere af D.A.Ds kontante rock .	de fleste i danmark nemlig 100.000 eksemplarer mens resten er fordelt pænt verden over med japan og australien som de største aftagere af d.a.ds kontante rock	O O O O O O O O O C C O O O O O O O O O O O O O O O	de fleste i danmark nemlig 100.000 eksemplarer mens resten er fordelt pænt verden over med japan og australien som de største aftagere af d.a.ds kontante rock	O O O O O O O O O C C O O O O O O O O O O O O O O O
1274	Folk af den generation foretrækker mumlen for klar tale , og helst ser de at der slet ikke bliver talt .	folk af den generation foretrækker mumlen for klar tale og helst ser de at der slet ikke bliver talt	O O O O C O O O C O O C O O O O O C C	folk foretrækker af den generation for klar tale mumlen og helst talt de at der slet bliver ikke ser	O F O O O O O O C O O F O O O O F O F
1275	Ved de traditionelle krydsningsmetoder tager det 14-15 år at udvikle en ny metode , men ved gensplejsnings-teknikken kan det gøres på otte-ni år , fordi man springer nogle trin over og hurtigere opdager , om en plante har de ønskede gener .	ved de traditionelle krydsningsmetoder tager det 14-15 år at udvikle en ny metode men ved gensplejsnings-teknikken kan det gøres på otte-ni år fordi man springer nogle trin over og hurtigere opdager om en plante har de ønskede gener	O O O O C O O O O C O O O O O O C O C O O O O O C O O O O O C O O O C O C O	ved de traditionelle krydsningsmetoder tager det 14-15 år at udvikle en ny metode men ved gensplejsnings-teknikken gøres det på otte-ni år kan fordi man springer nogle trin over og hurtigere opdager har om en plante de ønskede gener	O O O O C O O O O C O O O O O O F O O O O F O O C O O O O O C F O O O O C O
1276	"Men du må altså ikke lægge noget i det , vel ? """	men du må altså ikke lægge noget i det vel	O O C O O C O O O O	men du altså ikke lægge noget må i det vel	O O O O F O F O O O
1277	10.000 sparebrusere solgt i Vejle VEJLE : En vandsparekampagne i Vejle har ført til salg af 10.000 vandsparebrusere i kommunen , der reducerer vandforbruget med 30 pc.	10.000 sparebrusere solgt i vejle vejle en vandsparekampagne i vejle har ført til salg af 10.000 vandsparebrusere i kommunen der reducerer vandforbruget med 30 pc.	O O C O O O O O O O C C O O O O O O O O C O O O O	10.000 sparebrusere solgt i vejle vejle en vandsparekampagne i vejle har ført til salg af 10.000 vandsparebrusere i kommunen der vandforbruget med reducerer 30 pc.	O O C O O O O O O O C C O O O O O O O O O O F O O
1278	Klokken var næsten halvotte , og det var allerede begyndt at blive mørkt .	klokken var næsten halvotte og det var allerede begyndt at blive mørkt	O C O O O O C O C O C O	klokken var næsten begyndt var halvotte og det allerede at blive mørkt	O C O F F O O O O O C O
1279	""" Det er ikke meningen , at D-marken skal overtages af en ECU ."	det er ikke meningen at d-marken skal overtages af en ecu	O C O O O O C C O O O	det ikke er meningen at d-marken skal overtages af en ecu	O O F O O O C C O O O
1280	""" De mennesker , som finansierer film i Sverige - og her tænker jeg ikke mindst på det svenske filminstitut - tager ikke filmen alvorligt ."	de mennesker som finansierer film i sverige og her tænker jeg ikke mindst på det svenske filminstitut tager ikke filmen alvorligt	O O C O O O O C O O O O O C O O O O O O O	de mennesker tager ikke filmen alvorligt som film i finansierer sverige og her jeg ikke mindst på det svenske filminstitut tænker	O O C O O O O O O F O O O O O O O O O O F
