idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
2497	Diese Untersuchungen erfolgen nach den berufsgenossenschaftlichen Grundsätzen für Arbeitsmedizinische Vorsorgeuntersuchungen ( G26.1 bis G26.3 )	diese untersuchungen erfolgen nach den berufsgenossenschaftlichen grundsätzen für arbeitsmedizinische vorsorgeuntersuchungen g26.1 bis g26.3	O O C O O O O O O O O O O	diese untersuchungen nach den berufsgenossenschaftlichen grundsätzen für arbeitsmedizinische vorsorgeuntersuchungen g26.1 bis g26.3 erfolgen	O O O O O O O O O O O O F
2498	Somit sind dort noch mehr Drehscheiben in ständiger Verwendung und werden sogar manchmal neu gebaut ( beispielsweise die Canadian Pacific Railway in East Binghamton ( New York ) kurz vor 2000 ) .	somit sind dort noch mehr drehscheiben in ständiger verwendung und werden sogar manchmal neu gebaut beispielsweise die canadian pacific railway in east binghamton new york kurz vor 2000	O C O O O O O O O O O O O O O O O O O O O O O C O O O C	somit dort noch mehr drehscheiben in ständiger verwendung beispielsweise gebaut werden und sogar manchmal neu die canadian pacific railway in east binghamton new york sind kurz vor 2000	O O O O O O O O O F C O O O O O O O O O O O O O F O O O
2499	Kurze federartige Härchen finden sich dabei zwischen längeren Haaren .	kurze federartige härchen finden sich dabei zwischen längeren haaren	O O O C O O O O O	kurze federartige härchen sich dabei zwischen längeren haaren finden	O O O O O O O O F
2500	Der Zugang wird von Norden her über eine kleine Holzbrücke gewährleistet , welche den Wassergraben überbrückt .	der zugang wird von norden her über eine kleine holzbrücke gewährleistet welche den wassergraben überbrückt	O O C O O O O O O O C O O O C	der zugang wird von norden her über eine kleine holzbrücke gewährleistet welche den wassergraben überbrückt	O O C O O O O O O O C O O O C
2501	Das Bundesverwaltungsgericht in Leipzig entschied 2007 in drei Fällen : Produkte , die von ihrem Hersteller als Nahrungsergänzungsmittel auf den Markt gebracht werden , können nur dann von den Behörden als Arzneimittel eingestuft werden und wegen fehlender Zulassung als nicht verkehrsfähig bezeichnet werden , wenn belastbare wissenschaftliche Erkenntnisse belegen , dass sie die Funktionsbedingungen des menschlichen Körpers erheblich beeinflussen .	das bundesverwaltungsgericht in leipzig entschied 2007 in drei fällen produkte die von ihrem hersteller als nahrungsergänzungsmittel auf den markt gebracht werden können nur dann von den behörden als arzneimittel eingestuft werden und wegen fehlender zulassung als nicht verkehrsfähig bezeichnet werden wenn belastbare wissenschaftliche erkenntnisse belegen dass sie die funktionsbedingungen des menschlichen körpers erheblich beeinflussen	O O O O C O O O O O C O O O O O O O C C O O O O O O O O O C C O O O O O O O C C O O O O C O O O O O O O O C	das bundesverwaltungsgericht in leipzig 2007 entschied in drei fällen produkte die von ihrem hersteller als nahrungsergänzungsmittel auf den markt gebracht werden werden nur dann von den behörden als arzneimittel können eingestuft und wegen fehlender zulassung werden als nicht verkehrsfähig bezeichnet wenn belastbare wissenschaftliche erkenntnisse belegen dass sie die funktionsbedingungen des menschlichen körpers erheblich beeinflussen	O O O O O F O O O O O O O O O O O O O C C F O O O O O O O F F O O O O F O O O F O O O O C O O O O O O O O C
2502	Kühnhausen ist ein Ortsteil der Stadt Erfurt in Thüringen .	kühnhausen ist ein ortsteil der stadt erfurt in thüringen	O C O O O O O O O	kühnhausen ein ist ortsteil der stadt erfurt in thüringen	O O F O O O O O O
2503	Ein Team der Minor League Baseball kann allerdings nicht in die Major League Baseball aufsteigen .	ein team der minor league baseball kann allerdings nicht in die major league baseball aufsteigen	O O O O O O C O O O O O O O C	ein team der minor league baseball kann allerdings nicht in die major league baseball aufsteigen	O O O O O O C O O O O O O O C
2504	In einem Brief an Huot stellte er sogar fest , wegen der Existenz weiblicher Sufi - Heiliger müssten Ibn Arabi und der Sufismus als profeministisch gelten .	in einem brief an huot stellte er sogar fest wegen der existenz weiblicher sufi heiliger müssten ibn arabi und der sufismus als profeministisch gelten	O O O O O C O O O O O O O O O C O O O O O O O C	in einem brief an huot stellte er sogar fest wegen der existenz weiblicher sufi heiliger ibn müssten arabi gelten und der sufismus als profeministisch	O O O O O C O O O O O O O O O O F O F O O O O O
2505	Der zuständige Bundesminister hat dem Nationalrat nach der Abstimmung in der Europäischen Union unverzüglich Bericht zu erstatten und ihm gegebenenfalls die Gründe mitzuteilen , aus denen er von der Stellungnahme abgewichen ist .	der zuständige bundesminister hat dem nationalrat nach der abstimmung in der europäischen union unverzüglich bericht zu erstatten und ihm gegebenenfalls die gründe mitzuteilen aus denen er von der stellungnahme abgewichen ist	O O O C O O O O O O O O O O O O C O O O O O C O O O O O O C C	der zuständige bundesminister hat dem nationalrat nach der abstimmung in der europäischen union erstatten unverzüglich bericht zu und ihm mitzuteilen gegebenenfalls die gründe aus denen er von der stellungnahme abgewichen ist	O O O C O O O O O O O O O F O O O O O F O O O O O O O O O C C
2506	Da Quarterbacks auch nach der Ballübergabe getackelt werden durften , mussten sie große läuferische Fähigkeiten besitzen , um den gegnerischen Abwehrspielern ausweichen zu können .	da quarterbacks auch nach der ballübergabe getackelt werden durften mussten sie große läuferische fähigkeiten besitzen um den gegnerischen abwehrspielern ausweichen zu können	O O O O O O C C C C O O O O C O O O O C O C	da quarterbacks auch nach der ballübergabe getackelt durften werden mussten sie besitzen große läuferische fähigkeiten können um den gegnerischen abwehrspielern ausweichen zu	O O O O O O C F F C O F O O O F O O O O F O
2507	Aufgabe der Arbeitsgemeinschaft ist es Impulse und Anregungen für die kirchliche Arbeit mit älteren Menschen zu geben .	aufgabe der arbeitsgemeinschaft ist es impulse und anregungen für die kirchliche arbeit mit älteren menschen zu geben	O O O C O O O O O O O O O O O O C	aufgabe der arbeitsgemeinschaft ist es impulse und anregungen für die kirchliche arbeit mit älteren menschen zu geben	O O O C O O O O O O O O O O O O C
2508	Zu solchen schweren Entwicklungsstörungen der frühen Leibesfrucht ( Embryopathien ) kann es kommen , wenn Folsäure - Hemmstoffe in der 4 .	zu solchen schweren entwicklungsstörungen der frühen leibesfrucht embryopathien kann es kommen wenn folsäure hemmstoffe in der 4	O O O O O O O O C O C O O O O O O	zu solchen schweren entwicklungsstörungen der frühen leibesfrucht embryopathien es wenn folsäure kann hemmstoffe kommen in der 4	O O O O O O O O O O O F O F O O O
2509	Friedrich ( Fritz ) Nachtsheim , der in Erlangen studiert und promoviert hatte , entstammte einer Andernacher Familie .	friedrich fritz nachtsheim der in erlangen studiert und promoviert hatte entstammte einer andernacher familie	O O O C O O O O O O C C O C	friedrich fritz nachtsheim der in erlangen studiert und promoviert hatte entstammte einer andernacher familie	O O O O O O C O C C C O O O
2510	Diesen Vorschlägen stand jedoch die technisch aufwändige Überwindung des zwischen Ansbach und dem Altmühltal gelegenen Höhenzuges gegenüber , so dass die Bayerische Staatsbahn für den Abzweig der Strecke in Leutershausen plädierte , der letztendlich auch ausgeführt wurde .	diesen vorschlägen stand jedoch die technisch aufwändige überwindung des zwischen ansbach und dem altmühltal gelegenen höhenzuges gegenüber so dass die bayerische staatsbahn für den abzweig der strecke in leutershausen plädierte der letztendlich auch ausgeführt wurde	O O C O O O O O O O O O O O O O O O O O O O O O O O O O O C O O O C C	diesen vorschlägen jedoch stand die technisch aufwändige überwindung des zwischen ansbach und dem altmühltal gelegenen höhenzuges gegenüber so dass plädierte die bayerische staatsbahn für den abzweig der strecke in leutershausen der letztendlich auch ausgeführt wurde	O O O F O O O O O O O O O O O O O O O F O O O O O O O O O O O O O C C
2511	Hipper wechselte auf die SMS Moltke , während die Besatzung von Torpedobooten aufgenommen wurde .	hipper wechselte auf die sms moltke während die besatzung von torpedobooten aufgenommen wurde	O C O O O O O O O O O C C	hipper auf die sms moltke wechselte während die besatzung wurde aufgenommen von torpedobooten	O O O O O F O O O F F O O
2512	Kurz vor 1416 war eine Pfarrkirche ( Patrozinium St. Katharina ) erbaut worden .	kurz vor 1416 war eine pfarrkirche patrozinium st. katharina erbaut worden	O O O C O O O O O C C	kurz vor 1416 war eine pfarrkirche patrozinium st. katharina erbaut worden	O O O C O O O O O C C
2513	Als östliche Grenze gilt das iranische Hochland .	als östliche grenze gilt das iranische hochland	O O O C O O O	als östliche grenze gilt das iranische hochland	O O O C O O O
2514	Dass diese Gestühle erhalten geblieben sind , dürfte auch der Armut der Gemeinden zuzuschreiben sein , die es verbot , dem verbreiteten Trend der Barockisierung Anfang des siebzehnten Jahrhunderts zu folgen .	dass diese gestühle erhalten geblieben sind dürfte auch der armut der gemeinden zuzuschreiben sein die es verbot dem verbreiteten trend der barockisierung anfang des siebzehnten jahrhunderts zu folgen	O O O O C C C O O O O O C C O O C O O O O O O O O O O C	dass sind geblieben diese gestühle erhalten auch zuzuschreiben der armut dürfte der gemeinden sein die es verbot folgen dem verbreiteten trend der barockisierung anfang des siebzehnten jahrhunderts zu	O F F O O O O F O O F O O C O O C F O O O O O O O O O O
2515	Das Buch wird als eines der bedeutendsten Werke der niederländischen Literatur des Interbellums ( 1918-1940 ) eingestuft .	das buch wird als eines der bedeutendsten werke der niederländischen literatur des interbellums 1918-1940 eingestuft	O O C O O O O O O O O O O O C	das buch als eines der bedeutendsten werke wird eingestuft der niederländischen literatur des interbellums 1918-1940	O O O O O O O F F O O O O O O
2516	Die grünen Triebe weisen Durchmesser von 5 bis 7 Zentimetern auf .	die grünen triebe weisen durchmesser von 5 bis 7 zentimetern auf	O O O C O O O O O O O	die grünen triebe weisen durchmesser von 5 bis 7 zentimetern auf	O O O C O O O O O O O
2517	Von den zwischen sechs und acht gebauten Maschinen ist nur eine original erhalten geblieben ;	von den zwischen sechs und acht gebauten maschinen ist nur eine original erhalten geblieben	O O O O O O O O C O O O O C	von den zwischen sechs und acht gebauten maschinen ist nur eine original erhalten geblieben	O O O O O O O O C O O O O C
2518	Das Treffen endete mit einer Niederlage der Sudauer ;	das treffen endete mit einer niederlage der sudauer	O O C O O O O O	das treffen endete mit einer niederlage der sudauer	O O C O O O O O
2519	Die Zerstörung entlang der ehemaligen Demarkationslinie außerhalb des BCD oder einzelne punktuelle Zerstörungen in der restlichen Stadt werden von den Wiederaufbauplänen von Solidere nicht berücksichtigt .	die zerstörung entlang der ehemaligen demarkationslinie außerhalb des bcd oder einzelne punktuelle zerstörungen in der restlichen stadt werden von den wiederaufbauplänen von solidere nicht berücksichtigt	O O O O O O O O O O O O O O O O O C O O O O O O C	die zerstörung entlang der ehemaligen demarkationslinie außerhalb des bcd oder einzelne punktuelle zerstörungen in der restlichen stadt berücksichtigt von den wiederaufbauplänen von solidere nicht werden	O O O O O O O O O O O O O O O O O F O O O O O O F
2520	Er ist ein wesentlicher Bestandteil von Aminosäuren und damit von Proteinen , aber auch von Nucleinsäuren , also DNA und RNA .	er ist ein wesentlicher bestandteil von aminosäuren und damit von proteinen aber auch von nucleinsäuren also dna und rna	O C O O O O O O O O O O O O O O O O O	er ein wesentlicher bestandteil ist von aminosäuren und damit von proteinen aber auch von nucleinsäuren also dna und rna	O O O O F O O O O O O O O O O O O O O
2521	Auf Grund der programmatischen Nähe , die oben beschrieben wurde , befürchteten die Mennoniten eine massenhafte Konversion zu den Quäkern .	auf grund der programmatischen nähe die oben beschrieben wurde befürchteten die mennoniten eine massenhafte konversion zu den quäkern	O O O O O C O O O O O O O O O O C C	auf grund der programmatischen nähe wurde die beschrieben oben befürchteten die mennoniten eine massenhafte konversion zu den quäkern	O O O O O F O C O C O O O O O O O O
2522	Laudine fordert von Iwein das Versprechen ein , nach Jahr und Tag zurückzukehren .	laudine fordert von iwein das versprechen ein nach jahr und tag zurückzukehren	O C O O O O O O O O O C	laudine von fordert iwein das versprechen ein nach jahr und tag zurückzukehren	O O F O O O O O O O O C
2523	Neben dem Langnam - Verein beteiligte sich ab 1931 der Reichsverband der Deutschen Industrie und das Auswärtige Amt an der Finanzierung des MWT .	neben dem langnam verein beteiligte sich ab 1931 der reichsverband der deutschen industrie und das auswärtige amt an der finanzierung des mwt	O O O O C O O O O O O O O O O O O O O O O O	neben dem langnam verein sich ab 1931 der reichsverband der deutschen industrie und das auswärtige beteiligte amt an der finanzierung des mwt	O O O O O O O O O O O O O O O F O O O O O O
2524	Auch ZIP und Bzip besitzen als letzte Stufe einen Entropiekodierer .	auch zip und bzip besitzen als letzte stufe einen entropiekodierer	O O O O C O O O O O	auch zip und bzip besitzen als letzte stufe einen entropiekodierer	O O O O C O O O O O
2525	Neben den regulären Studienprogrammen bietet die Ben - Gurion - Universität mehrere spezielle Studienprogramme an , die sich an ein internationales Studentenpublikum richten :	neben den regulären studienprogrammen bietet die ben gurion universität mehrere spezielle studienprogramme an die sich an ein internationales studentenpublikum richten	O O O O C O O O O O O O O O O O O O O C	neben den regulären studienprogrammen die ben gurion universität bietet mehrere spezielle studienprogramme an die sich an ein internationales studentenpublikum richten	O O O O O O O O F O O O O O O O O O O C
2526	In der Roelckestraße nahe der Ostseestraße , in den Gewerbebauten südlich des Weißenseer Gründerviertels existierte zu DDR - Zeiten die einzige privat betriebene Diskothek .	in der roelckestraße nahe der ostseestraße in den gewerbebauten südlich des weißenseer gründerviertels existierte zu ddr zeiten die einzige privat betriebene diskothek	O O O O O O O O O O O O O C O O O O O O O O	in der roelckestraße nahe der ostseestraße in den gewerbebauten südlich des weißenseer gründerviertels existierte zu ddr zeiten die einzige privat betriebene diskothek	O O O O O O O O O O O O O C O O O O O O O O
2527	Dies kann eine individuelle , einzigartige Sache ( z. B. Originalkunstwerk ) oder ein aus einer bestimmten Gattung herausgesuchtes Stück sein ( eine sog .	dies kann eine individuelle einzigartige sache z. b. originalkunstwerk oder ein aus einer bestimmten gattung herausgesuchtes stück sein eine sog	O C O O O O O O O O O O O O O O O C O O	dies eine sein individuelle einzigartige sache z. b. originalkunstwerk oder ein aus einer bestimmten gattung herausgesuchtes stück eine sog kann	O O F O O O O O O O O O O O O O O O O F
2528	Boeing und Airbus sind durch die derzeitige Produktion und die aktuellen Bestellungen auf längere Zeit hinaus nicht in der Lage , das Produktionsvolumen für größere Flugzeuge wesentlich zu erhöhen .	boeing und airbus sind durch die derzeitige produktion und die aktuellen bestellungen auf längere zeit hinaus nicht in der lage das produktionsvolumen für größere flugzeuge wesentlich zu erhöhen	O O O C O O O O O O O O O O O O O O O O O O O O O O O C	boeing und airbus sind durch die derzeitige produktion und die aktuellen bestellungen auf längere zeit hinaus nicht in der lage das produktionsvolumen erhöhen für größere flugzeuge wesentlich zu	O O O C O O O O O O O O O O O O O O O O O O F O O O O O
2529	Erstmals wurde den dort lebenden Indianern eingeräumt , dass sie dort ältere Rechte hatten .	erstmals wurde den dort lebenden indianern eingeräumt dass sie dort ältere rechte hatten	O C O O O O C O O O O O C	erstmals wurde den dort lebenden indianern eingeräumt dass sie dort hatten ältere rechte	O C O O O O C O O O F O O
2530	Sein bekanntestes Werk ist der Bestseller Sieben Jahre in Tibet , in dem Harrer seine Zeit mit Peter Aufschnaiter in Tibet und seine Bekanntschaft mit dem 14 .	sein bekanntestes werk ist der bestseller sieben jahre in tibet in dem harrer seine zeit mit peter aufschnaiter in tibet und seine bekanntschaft mit dem 14	O O O C O O O O O O O O O O O O O O O O O O O O O O	sein bekanntestes werk der bestseller sieben jahre in tibet in dem harrer ist seine zeit mit peter aufschnaiter in tibet und seine bekanntschaft mit dem 14	O O O O O O O O O O O O F O O O O O O O O O O O O O
2531	Sie ist etwas einfacher als die Differenzmethode oder die Anrechnungsmethode .	sie ist etwas einfacher als die differenzmethode oder die anrechnungsmethode	O C O O O O O O O O	sie ist etwas einfacher als die differenzmethode oder die anrechnungsmethode	O C O O O O O O O O
2532	Nach dem Kampf wird auf Sir Kay ein Attentat verübt , bei dem er fast umkam .	nach dem kampf wird auf sir kay ein attentat verübt bei dem er fast umkam	O O O C O O O O O C O O O O C	nach dem kampf auf sir kay ein attentat wird verübt umkam bei dem er fast	O O O O O O O O F C F O O O O
2533	Später folgten ebenfalls in Biesdorf Versuche mit dem Heeres - Parseval PL 25 .	später folgten ebenfalls in biesdorf versuche mit dem heeres parseval pl 25	O C O O O O O O O O O O	später folgten ebenfalls in biesdorf versuche mit dem heeres parseval pl 25	O C O O O O O O O O O O
2534	Klein von Gestalt , war sie groß durch ihre Tugenden ;	klein von gestalt war sie groß durch ihre tugenden	O O O C O O O O O	klein war von gestalt sie groß durch ihre tugenden	O F O O O O O O O
2535	Sich überschneidende Aktivitäten werden durch überlappende Balken dargestellt .	sich überschneidende aktivitäten werden durch überlappende balken dargestellt	O O O C O O O C	sich überschneidende aktivitäten werden durch überlappende balken dargestellt	O O O C O O O C
2536	Er ist der Erbauer der Einhardsbasilika .	er ist der erbauer der einhardsbasilika	O C O O O O	er ist der erbauer der einhardsbasilika	O C O O O O
2537	Da manche Güter begehrter sind als andere , kann sich der Spieler einen Vorteil verschaffen , wenn er eine solche Nachfrage befriedigt .	da manche güter begehrter sind als andere kann sich der spieler einen vorteil verschaffen wenn er eine solche nachfrage befriedigt	O O O O C O O C O O O O O C O O O O O C	da manche güter begehrter als andere sich verschaffen der spieler kann einen vorteil sind wenn er eine solche nachfrage befriedigt	O O O O O O O F O O F O O F O O O O O C
2538	Nach WStG sind sie demnach Amtsträgern teilweise gleichgestellt .	nach wstg sind sie demnach amtsträgern teilweise gleichgestellt	O O C O O O O O	nach wstg sind sie demnach amtsträgern teilweise gleichgestellt	O O C O O O O O
2539	"Doch die berühmte Szenerie ist zerstört : Ein riesiges Windrad ragt über den See auf und peitscht mit seinen lärmenden Rotorblättern jede besinnliche Stimmung nieder . """	doch die berühmte szenerie ist zerstört ein riesiges windrad ragt über den see auf und peitscht mit seinen lärmenden rotorblättern jede besinnliche stimmung nieder	O O O O C O O O O C O O O O O C O O O O O O O O	doch die berühmte szenerie zerstört ist ein riesiges windrad über den see ragt auf und peitscht mit seinen lärmenden rotorblättern jede besinnliche stimmung nieder	O O O O O F O O O O O O F O O C O O O O O O O O
2540	Diese Technik verwendete auch Michael Moore , als er mit den Demonstranten sprach .	diese technik verwendete auch michael moore als er mit den demonstranten sprach	O O C O O O O O O O O C	diese technik auch michael moore verwendete als er mit den demonstranten sprach	O O O O O F O O O O O C
2541	Sie steht in voller Kirchengemeinschaft mit der Utrechter Union der Altkatholischen Kirchen .	sie steht in voller kirchengemeinschaft mit der utrechter union der altkatholischen kirchen	O C O O O O O O O O O O	sie steht in voller kirchengemeinschaft mit der utrechter union der altkatholischen kirchen	O C O O O O O O O O O O
2542	Das Epiproct ( Appendix inferior ) ist kürzer und länglich dreieckig , wobei das Ende oft zugespitzt und umgebogen und seltener abgestumpft oder leicht eingebuchtet ist .	das epiproct appendix inferior ist kürzer und länglich dreieckig wobei das ende oft zugespitzt und umgebogen und seltener abgestumpft oder leicht eingebuchtet ist	O O O O C O O O O O O O O O O O O O O O O O C	das epiproct appendix inferior kürzer und länglich ist dreieckig wobei das ende oft zugespitzt ist und umgebogen und seltener abgestumpft oder leicht eingebuchtet	O O O O O O O F O O O O O O F O O O O O O O O
2543	Da die Räumlichkeiten wegen des großen Interesses zu klein wurden , suchten sie nach einem größeren Gebäude .	da die räumlichkeiten wegen des großen interesses zu klein wurden suchten sie nach einem größeren gebäude	O O O O O O O O O C C O O O O O	da die räumlichkeiten wegen des großen interesses zu klein wurden sie suchten nach einem größeren gebäude	O O O O O O O O O C O F O O O O
2544	Ab 1978 nahm er ein Architekturstudium an der Liverpool University auf .	ab 1978 nahm er ein architekturstudium an der liverpool university auf	O O C O O O O O O O O	ab 1978 nahm er ein architekturstudium an der liverpool university auf	O O C O O O O O O O O
2545	Wie der Luxemburger Staatsanwalt Jean - Paul Frising erklärte , wurden schon 1989 auf Antrag der US - Behörden Konten mit insgesamt 5 Mio .	wie der luxemburger staatsanwalt jean paul frising erklärte wurden schon 1989 auf antrag der us behörden konten mit insgesamt 5 mio	O O O O O O O C C O O O O O O O O O O O O	wie der luxemburger staatsanwalt jean paul frising erklärte schon wurden 1989 auf antrag der us behörden konten mit insgesamt 5 mio	O O O O O O O C O F O O O O O O O O O O O
2546	Für die Predigten lädt dieses Programmteam spezielle Referenten ein .	für die predigten lädt dieses programmteam spezielle referenten ein	O O O C O O O O O	für die predigten lädt dieses programmteam spezielle referenten ein	O O O C O O O O O
2547	Gustav Mahler verlangte in seinen Sinfonien ausdrücklich ein auf die große Trommel aufmontiertes Beckenpaar , um einen grotesken , zirkusartigen Klang zu erreichen .	gustav mahler verlangte in seinen sinfonien ausdrücklich ein auf die große trommel aufmontiertes beckenpaar um einen grotesken zirkusartigen klang zu erreichen	O O C O O O O O O O O O O O O O O O O O C	gustav mahler in seinen sinfonien ausdrücklich ein auf die große trommel aufmontiertes beckenpaar verlangte um einen grotesken zirkusartigen klang zu erreichen	O O O O O O O O O O O O O F O O O O O O C
2548	Beide sind ( als 36:1 und 37:1 ) registrierter Teil des Gräberfeldes Hjortsberga .	beide sind als 36:1 und 37:1 registrierter teil des gräberfeldes hjortsberga	O C O O O O O O O O O	beide als sind 36:1 und 37:1 registrierter teil des gräberfeldes hjortsberga	O O F O O O O O O O O
2549	Sie spielten auch bei der Finanzierung der ersten Eigentumswohnungen eine Rolle .	sie spielten auch bei der finanzierung der ersten eigentumswohnungen eine rolle	O C O O O O O O O O O	sie auch bei der finanzierung der ersten eigentumswohnungen spielten eine rolle	O O O O O O O O F O O
2550	Er spielt seit Januar 2011 bei Alba Berlin in der BBL .	er spielt seit januar 2011 bei alba berlin in der bbl	O C O O O O O O O O O	er spielt seit januar 2011 bei alba berlin in der bbl	O C O O O O O O O O O
2551	Der einzige Start des Modells Start schlug 1995 fehl , Start - 1 wurde 1993 erstmals gestartet .	der einzige start des modells start schlug 1995 fehl start 1 wurde 1993 erstmals gestartet	O O O O O O C O O O O C O O C	der einzige start des modells start schlug 1995 fehl start 1 wurde gestartet 1993 erstmals	O O O O O O C O O O O C F O O
2552	Sie bieten Kurse auf verschiedenen Ebenen , wie High Schools , technischen Hochschulen oder höheren Bildungseinrichtungen .	sie bieten kurse auf verschiedenen ebenen wie high schools technischen hochschulen oder höheren bildungseinrichtungen	O C O O O O O O O O O O O O	sie kurse auf verschiedenen ebenen wie high schools technischen hochschulen bieten oder höheren bildungseinrichtungen	O O O O O O O O O O F O O O
2553	Die dortigen Golfverbände gestatten mittlerweile in Anlehnung an die Regeln des IOC aus 2004 auch jenen Frauen die Teilnahme , die nicht schon bei der Geburt weiblich waren .	die dortigen golfverbände gestatten mittlerweile in anlehnung an die regeln des ioc aus 2004 auch jenen frauen die teilnahme die nicht schon bei der geburt weiblich waren	O O O C O O O O O O O O O O O O O O O O O O O O O O C	die dortigen golfverbände mittlerweile in anlehnung an die regeln des ioc aus 2004 auch jenen frauen die teilnahme die nicht schon bei der geburt gestatten weiblich waren	O O O O O O O O O O O O O O O O O O O O O O O O F O C
2554	Den Erdboden der coastal prairie bildet nährstoffreicher , dunkler Mollisol .	den erdboden der coastal prairie bildet nährstoffreicher dunkler mollisol	O O O O O C O O O	den erdboden der coastal prairie nährstoffreicher dunkler mollisol bildet	O O O O O O O O F
2555	"Es treten daher keine noch so kleinen "" Treppenstufen "" in der Bilddarstellung auf ."	es treten daher keine noch so kleinen treppenstufen in der bilddarstellung auf	O C O O O O O O O O O O	es treten daher keine noch so kleinen treppenstufen in der bilddarstellung auf	O C O O O O O O O O O O
2556	Maas schlägt dafür die Notation / / vor .	maas schlägt dafür die notation vor	O C O O O O	maas dafür die notation vor schlägt	O O O O O F
2557	Nur von wenigen Arten ist die Lebensweise bekannt .	nur von wenigen arten ist die lebensweise bekannt	O O O O C O O O	nur von wenigen arten ist die lebensweise bekannt	O O O O C O O O
2558	Es entstand aus dem Zusammenschluss der Porzellanwelt Selb ( mit dem Europäischen Industriemuseum für Porzellan , dem Europäischen Museum für Technische Keramik und dem Rosenthal Museum ) und dem Deutschen Porzellanmuseum in Hohenberg an der Eger .	es entstand aus dem zusammenschluss der porzellanwelt selb mit dem europäischen industriemuseum für porzellan dem europäischen museum für technische keramik und dem rosenthal museum und dem deutschen porzellanmuseum in hohenberg an der eger	O C O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	es entstand aus dem zusammenschluss der porzellanwelt selb mit dem europäischen industriemuseum für porzellan dem europäischen museum für technische keramik und dem rosenthal museum und dem deutschen porzellanmuseum in hohenberg an der eger	O C O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2559	Großmengen werden in Silofahrzeugen angeliefert und in Tanks -- liegend oder stehend -- eingelagert .	großmengen werden in silofahrzeugen angeliefert und in tanks -- liegend oder stehend -- eingelagert	O C O O C O O O O O O O O C	großmengen werden in silofahrzeugen angeliefert und eingelagert in tanks -- liegend oder stehend --	O C O O C O F O O O O O O O
2560	Heute ist sie das Handelszentrum einer Region , in der Getreide , Tabak und Zitrusfrüchte angepflanzt werden .	heute ist sie das handelszentrum einer region in der getreide tabak und zitrusfrüchte angepflanzt werden	O C O O O O O O O O O O O C C	heute sie das handelszentrum einer region ist in der getreide tabak und zitrusfrüchte angepflanzt werden	O O O O O O F O O O O O O C C
2561	Von 1997 bis 2001 war er Deputy Chair of Committees .	von 1997 bis 2001 war er deputy chair of committees	O O O O C O O O O O	von 1997 bis 2001 er deputy chair of war committees	O O O O O O O O F O
2562	Die der Ballade innewohnende Dramatik und Spannung wird von Schubert musikalisch nachempfunden , ja sogar gesteigert , was durch die Bandbreite der Dynamik , die Zunahme der Agogik , Chromatik und Dominantseptnonakkorde in verschiedenen Umkehrungen , die auf Schuberts Zeitgenossen furchterregend wirkten , unterstrichen wird .	die der ballade innewohnende dramatik und spannung wird von schubert musikalisch nachempfunden ja sogar gesteigert was durch die bandbreite der dynamik die zunahme der agogik chromatik und dominantseptnonakkorde in verschiedenen umkehrungen die auf schuberts zeitgenossen furchterregend wirkten unterstrichen wird	O O O O O O O C O O O C O O C O O O O O O O O O O O O O O O O C C O O O O O C	die der ballade innewohnende dramatik und spannung von nachempfunden schubert musikalisch wird gesteigert ja sogar was durch die bandbreite der dynamik die zunahme der agogik chromatik und dominantseptnonakkorde in verschiedenen umkehrungen die auf schuberts zeitgenossen wirkten furchterregend unterstrichen wird	O O O O O O O O F O O F F O O O O O O O O O O O O O O O O O O O O O O F O C C
2563	Andererseits begann er , auf eigene Kosten für die Franziskaner ein Kloster in Roskilde zu bauen .	andererseits begann er auf eigene kosten für die franziskaner ein kloster in roskilde zu bauen	O C O O O O O O O O O O O O C	andererseits er begann auf eigene kosten für die franziskaner ein kloster in roskilde zu bauen	O O F O O O O O O O O O O O C
2564	Diese Champánes bestehen aus Zedernholz und sind 15 bis 20 m lang .	diese champánes bestehen aus zedernholz und sind 15 bis 20 m lang	O O C O O O C O O O O O	diese champánes aus zedernholz und sind bestehen 15 bis 20 m lang	O O O O O F F O O O O O
2565	Der statische Auftrieb von Luftschiffen ist während einer Fahrt nicht konstant .	der statische auftrieb von luftschiffen ist während einer fahrt nicht konstant	O O O O O C O O O O O	der statische auftrieb von luftschiffen ist während einer fahrt nicht konstant	O O O O O C O O O O O
2566	Die vier Strukturproteine VP1 - 4 bilden zusammen ein Kapsomer , bei dem das VP4 die innere Kapsidseite auskleidet und über seine positiv geladenen Aminosäurereste mit der viralen RNA assoziiert ist .	die vier strukturproteine vp1 4 bilden zusammen ein kapsomer bei dem das vp4 die innere kapsidseite auskleidet und über seine positiv geladenen aminosäurereste mit der viralen rna assoziiert ist	O O O O O C O O O O O O O O O O C O O O O O O O O O O C C	die vier strukturproteine vp1 4 bilden zusammen ein kapsomer bei dem das auskleidet vp4 die innere kapsidseite und über seine positiv geladenen aminosäurereste mit der viralen rna assoziiert ist	O O O O O C O O O O O O F O O O O O O O O O O O O O O C C
