idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
1071	"Thomas Stuer måtte afgive sæt mod koreaneren Lee Kwan-Jin , men i kvarten mod kineseren Wan Shengwen : "" Jeg vandt 15-9 , 15-8 , men var stort bagud i begge sæt , hhv. 0-7 og 2-7 , inden jeg fik mit grundspil på plads ."	thomas stuer måtte afgive sæt mod koreaneren lee kwan-jin men i kvarten mod kineseren wan shengwen jeg vandt 15-9 15-8 men var stort bagud i begge sæt hhv. 0-7 og 2-7 inden jeg fik mit grundspil på plads	thomas måtte stuer afgive sæt mod koreaneren lee kwan-jin men i kvarten mod kineseren wan shengwen jeg vandt 15-9 15-8 men stort var bagud i begge sæt hhv. 0-7 og 2-7 inden fik jeg mit grundspil på plads	O F O C O O O O O O O O O O O O O C O O O O F O O O O O O O O O F O O O O O	thomas stuer afgive sæt mod koreaneren lee kwan-jin men i kvarten mod kineseren måtte wan shengwen jeg 15-9 15-8 men var stort bagud i begge sæt hhv. 0-7 og 2-7 inden jeg vandt fik mit grundspil på plads	O O C O O O O O O O O O O F O O O O O O C O O O O O O O O O O O F C O O O O
1072	Unibank har brug for kundernes tillid .	unibank har brug for kundernes tillid	unibank har brug for kundernes tillid	O C O O O O	unibank har brug for kundernes tillid	O C O O O O
1073	Går man bag kulisserne i B1903 forekommer revnerne i den blankpolerede , udadvendte facade endog at være endnu mere iøjnefaldende .	går man bag kulisserne i b1903 forekommer revnerne i den blankpolerede udadvendte facade endog at være endnu mere iøjnefaldende	går man bag kulisserne i b1903 revnerne forekommer i den blankpolerede udadvendte facade endog være at endnu mere iøjnefaldende	C O O O O O O F O O O O O O F O O O O	går man bag kulisserne i b1903 forekommer revnerne i den blankpolerede udadvendte facade endog at endnu mere være iøjnefaldende	C O O O O O C O O O O O O O O O O F O
1074	De første interesserede selskaber har allerede vist sig , efter Norden i går officielt meddelte , at sammenlægningen med Hafnia-selskabet er forhandlet på plads .	de første interesserede selskaber har allerede vist sig efter norden i går officielt meddelte at sammenlægningen med hafnia-selskabet er forhandlet på plads	de første interesserede selskaber har allerede sig vist efter norden i går meddelte officielt at sammenlægningen med hafnia-selskabet er forhandlet på plads	O O C O C O O F O O O O F O O O O O C C O O	de første selskaber allerede vist forhandlet sig efter norden i har går interesserede officielt meddelte at sammenlægningen med hafnia-selskabet er på plads	O O O O C F O O O O F O F O C O O O O C O O
1075	""" Hva ! "" råbte de som med én mund , "" arrangerer du ikke keglerne , når du er keglerejser ?"	hva råbte de som med én mund arrangerer du ikke keglerne når du er keglerejser	hva de råbte som med én arrangerer mund du ikke keglerne når du er keglerejser	O O F O O O F O O O O O O C O	hva råbte de som med én mund arrangerer du ikke er keglerne når du keglerejser	O C O O O O O C O O F O O O O
1076	Det snehvide propagandapalads i Wilhelmstrasse beskæftigede flere psykologer end journalister .	det snehvide propagandapalads i wilhelmstrasse beskæftigede flere psykologer end journalister	det snehvide propagandapalads i wilhelmstrasse beskæftigede flere psykologer end journalister	O O O O O C O O O O	det snehvide propagandapalads i wilhelmstrasse beskæftigede flere psykologer end journalister	O O O O O C O O O O
1077	Udstillingen varer til den 30. oktober .	udstillingen varer til den 30. oktober	udstillingen til varer den 30. oktober	O O F O O O	udstillingen til den varer 30. oktober	O O O F O O
1078	Op til et dusin store lastvognstog kører Europa tyndt .	op til et dusin store lastvognstog kører europa tyndt	op til et dusin store kører lastvognstog europa tyndt	O O O O O F O O O	op til et dusin store lastvognstog kører europa tyndt	O O O O O O C O O
1079	Man kan åbenbart forvente alt fra den såkaldt fredsbevarende styrke i landet .	man kan åbenbart forvente alt fra den såkaldt fredsbevarende styrke i landet	man kan åbenbart forvente alt fra den såkaldt fredsbevarende styrke i landet	O C O C O O O O O O O O	man åbenbart forvente alt kan fra den såkaldt fredsbevarende styrke i landet	O O C O F O O O O O O O
1080	Forude venter uger med en madplan , der består af pemmican på hundrede forskellige måder .	forude venter uger med en madplan der består af pemmican på hundrede forskellige måder	forude uger venter med en madplan består der af pemmican på hundrede forskellige måder	O O F O O O F O O O O O O O	forude uger med en madplan der består af pemmican på venter hundrede forskellige måder	O O O O O O C O O O F O O O
1081	Vi vurderer vores egen indsats ud fra nogle idealforestillinger , som vi ikke føler , vi kan leve op til .	vi vurderer vores egen indsats ud fra nogle idealforestillinger som vi ikke føler vi kan leve op til	vi vurderer vores egen indsats ud fra nogle idealforestillinger som vi ikke føler vi kan leve op til	O C O O O O O O O O O O C O F F O O	vi vores egen indsats ud fra nogle idealforestillinger som leve vi ikke føler vurderer vi kan op til	O O O O O O O O O F O O C F O C O O
1082	Grækerne vil ikke anerkende navnet Makedonien , som efter græsk opfattelse er betegnelsen på et område i det nordlige Grækenland .	grækerne vil ikke anerkende navnet makedonien som efter græsk opfattelse er betegnelsen på et område i det nordlige grækenland	grækerne vil ikke anerkende navnet makedonien som efter græsk opfattelse betegnelsen er på et område i det nordlige grækenland	O C O C O O O O O O O F O O O O O O O	grækerne ikke navnet makedonien som efter græsk anerkende opfattelse er betegnelsen på et område i det vil nordlige grækenland	O O O O O O O F O C O O O O O O F O O
1083	Et selskab hvor de røde/hvide farver også har været særdelse fremherskende .	et selskab hvor de røde/hvide farver også har været særdelse fremherskende	et selskab hvor de røde/hvide farver har også været særdelse fremherskende	O O O O O O F O C O O	et selskab har hvor de røde/hvide farver også været særdelse fremherskende	O O F O O O O O C O O
1084	Det hele startede med at min veninde og jeg skulle til fest hos Søren , en af min venindes studiekammerater .	det hele startede med at min veninde og jeg skulle til fest hos søren en af min venindes studiekammerater	det hele startede med at min veninde og jeg til skulle fest hos søren en af min venindes studiekammerater	O O C O O O O O O O F O O O O O O O O	det hele startede med at min veninde og jeg til fest hos søren en af skulle min venindes studiekammerater	O O C O O O O O O O O O O O O F O O O
1085	"Der var altid noget at rive i . """	der var altid noget at rive i	var der altid noget at rive i	F O O O O C O	der altid noget at var rive i	O O O O F C O
1086	Dernæst vil indenrigsministeriet , civilforsvarsstyrelsen og sundhedstyrelsen overveje om arbejdet skal føres videre med henblik på at få opbygget et lægemiddelberedskab , der tidsmæssigt rækker ud over de nævnte forudsætninger .	dernæst vil indenrigsministeriet civilforsvarsstyrelsen og sundhedstyrelsen overveje om arbejdet skal føres videre med henblik på at få opbygget et lægemiddelberedskab der tidsmæssigt rækker ud over de nævnte forudsætninger	dernæst vil indenrigsministeriet civilforsvarsstyrelsen og sundhedstyrelsen om overveje skal arbejdet føres videre med henblik på at få et opbygget lægemiddelberedskab der rækker tidsmæssigt ud over de nævnte forudsætninger	O C O O O O O F F O C O O O O O C O F O O F O O O O C O	dernæst føres vil få indenrigsministeriet skal civilforsvarsstyrelsen og sundhedstyrelsen overveje om arbejdet videre med henblik på at opbygget et lægemiddelberedskab der rækker tidsmæssigt ud over de nævnte forudsætninger	O F C F O F O O O C O O O O O O O C O O O F O O O O C O
1087	Der er bl.a. af denne grund opstået et ønske om at kunne kombinere VUS med UTB og ATB , også fordi målgrupperne for disse ordninger i vidt omfang har de samme ( svage ) uddannelsesmæssige forudsætninger .	der er bl.a. af denne grund opstået et ønske om at kunne kombinere vus med utb og atb også fordi målgrupperne for disse ordninger i vidt omfang har de samme svage uddannelsesmæssige forudsætninger	der er bl.a. af denne grund et opstået ønske om kunne at kombinere vus med utb og atb også fordi målgrupperne for disse ordninger i vidt omfang har de samme svage uddannelsesmæssige forudsætninger	O C O O O O O F O O F O C O O O O O O O O O O O O O O C O O O O O	der er bl.a. af denne grund kunne et ønske om opstået at vus med utb og atb også kombinere fordi målgrupperne for disse ordninger i vidt omfang har de samme svage uddannelsesmæssige forudsætninger	O C O O O O F O O O F O O O O O O O F O O O O O O O O C O O O O O
1088	Larsen har udtalt , han ikke betragter de 70 millioner som tab , men som lærepenge .	larsen har udtalt han ikke betragter de 70 millioner som tab men som lærepenge	larsen har udtalt han ikke betragter de 70 millioner som tab men som lærepenge	O F F O O C O O O O O O O O	larsen han ikke betragter de 70 har millioner udtalt som tab men som lærepenge	O O O C O O F O F O O O O O
1089	Selv om den danske rente og valutakurs har klaret sig relativt godt under valutakrisen , så vil den internationale økonomiske afmatning , som nok bliver et resultat af uroen , have store konsekvenser for dansk eksport .	selv om den danske rente og valutakurs har klaret sig relativt godt under valutakrisen så vil den internationale økonomiske afmatning som nok bliver et resultat af uroen have store konsekvenser for dansk eksport	selv om den danske rente og valutakurs har sig klaret relativt godt under valutakrisen vil så den internationale økonomiske afmatning som nok bliver et resultat af uroen have store konsekvenser for dansk eksport	O O O O O O O C O F O O O O F O O O O O O O C O O O O C O O O O O	selv om den danske rente og valutakurs har klaret sig relativt godt under valutakrisen så den internationale økonomiske afmatning bliver som vil nok et resultat af uroen have store konsekvenser for dansk eksport	O O O O O O O C C O O O O O O O O O O F O F O O O O O C O O O O O
1090	Vi vil opdage , at der efter kort tids opvarmning begynder en fordampning af en farveløs væske fra råolien .	vi vil opdage at der efter kort tids opvarmning begynder en fordampning af en farveløs væske fra råolien	vi vil opdage at der efter kort tids opvarmning begynder en fordampning af en farveløs væske fra råolien	O F F O O O O O O C O O O O O O O O	vi vil opdage at der efter kort tids opvarmning en fordampning af en farveløs væske fra råolien begynder	O C C O O O O O O O O O O O O O O F
1091	Og på en ferie i Malaysia fandt jeg på , at starte en import af krukker .	og på en ferie i malaysia fandt jeg på at starte en import af krukker	og på en ferie i malaysia fandt jeg på at en starte import af krukker	O O O O O O C O O O O F O O O	og på en starte ferie i malaysia fandt jeg på at en import af krukker	O O O F O O O C O O O O O O O
1092	Måske er det gået , som doktor Berg sagde : - Han vokser sig fra det .	måske er det gået som doktor berg sagde han vokser sig fra det	er måske det gået som doktor berg sagde han sig vokser fra det	F O O C O O O C O O F O O	måske det som doktor gået er berg sagde han vokser sig fra det	O O O O F F O C O C O O O
1093	Linoleum har været brugt som køkkengulvs-belægning i mange år og har stået sin prøve med glans .	linoleum har været brugt som køkkengulvs-belægning i mange år og har stået sin prøve med glans	har linoleum været brugt som køkkengulvs-belægning i mange år og har stået sin prøve med glans	F O C C O O O O O O F F O O O O	linoleum været brugt som køkkengulvs-belægning har i mange år og stået sin prøve med har glans	O C C O O F O O O O C O O O F O
1094	- Ja , svarede hun uden tøven .	ja svarede hun uden tøven	ja svarede hun uden tøven	O C O O C	ja svarede tøven hun uden	O C F O O
1095	Diana blev heglet lidt igennem som en ret uskadelig , skæg pige , der ikke havde nemt ved at tænke selv , og det hyggede mange sig ved .	diana blev heglet lidt igennem som en ret uskadelig skæg pige der ikke havde nemt ved at tænke selv og det hyggede mange sig ved	diana blev heglet lidt igennem som en ret uskadelig skæg pige der ikke havde nemt ved at tænke selv og det mange hyggede sig ved	O F F O O O O O O O O O O C O O O C O O O O F O O	hyggede diana blev heglet lidt igennem som en ret uskadelig skæg pige der ikke nemt ved at havde tænke selv og det mange sig ved	F O C C O O O O O O O O O O O O O F C O O O O O O
1096	"Lone Scherfig , der deltog i projekt "" Æterdrama "" i foråret , har instrueret hans komedie Hvor er det dog synd for Dora ."	lone scherfig der deltog i projekt æterdrama i foråret har instrueret hans komedie hvor er det dog synd for dora	lone scherfig deltog der i projekt æterdrama i foråret har instrueret hans komedie hvor det er dog synd for dora	O O F O O O O O O C C O O O O F O O O O	lone scherfig der deltog i projekt æterdrama i foråret instrueret er hans komedie hvor har det dog synd for dora	O O O C O O O O O C F O O O F O O O O O
1097	Fadet med grønsager rykkes op i ovnen samtidig med kødet .	fadet med grønsager rykkes op i ovnen samtidig med kødet	fadet med rykkes grønsager op i ovnen samtidig med kødet	O O F O O O O O O O	fadet med grønsager rykkes op i ovnen samtidig med kødet	O O O C O O O O O O
1098	Det var stadig ikke muligt at opgive et mere præcist antal dødsofre , fordi mange landsbyer har været afskåret fra omverdenen , siden jordskælvet ramte .	det var stadig ikke muligt at opgive et mere præcist antal dødsofre fordi mange landsbyer har været afskåret fra omverdenen siden jordskælvet ramte	det var stadig ikke muligt at opgive et mere præcist antal dødsofre fordi mange landsbyer har været afskåret fra omverdenen siden jordskælvet ramte	O C O O O O C O O O O O O O O F F C O O O O C	det var stadig ikke muligt at opgive har et mere præcist antal dødsofre fordi mange landsbyer været ramte afskåret fra omverdenen siden jordskælvet	O C O O O O C F O O O O O O O O C F F O O O O
1099	""" Auktionsbetingelserne siger simpelthen , at Spækhuggeren skal hugges op og , at visse dele derefter skal afleveres til Søværnet , "" oplyser kommandørkaptajn Per Mikkelsen på Holmen i København ."	auktionsbetingelserne siger simpelthen at spækhuggeren skal hugges op og at visse dele derefter skal afleveres til søværnet oplyser kommandørkaptajn per mikkelsen på holmen i københavn	auktionsbetingelserne simpelthen siger at skal spækhuggeren hugges op og at visse dele derefter skal til afleveres oplyser søværnet kommandørkaptajn per mikkelsen på holmen i københavn	O O F O F O C O O O O O O C O F F O O O O O O O O	auktionsbetingelserne siger simpelthen at spækhuggeren op og at visse dele derefter afleveres skal til søværnet oplyser kommandørkaptajn skal per mikkelsen på hugges holmen i københavn	O C O O O O O O O O O C F O O C O F O O O F O O O
1100	Mere sandsynligt er det , at Dronningen fra ungdommen har haft blød brusk .	mere sandsynligt er det at dronningen fra ungdommen har haft blød brusk	mere sandsynligt er det at dronningen fra ungdommen har blød haft brusk	O O C O O O O O C O F O	mere sandsynligt det at har dronningen fra er ungdommen haft blød brusk	O O O O F O O F O C O O
1101	Vigtigt at vide , hvis man vakler mellem en benzin- og en dieseldrevet bil .	vigtigt at vide hvis man vakler mellem en benzin- og en dieseldrevet bil	vigtigt vide at hvis man vakler mellem en benzin- og en dieseldrevet bil	O F O O O C O O O O O O O	vigtigt at hvis man vakler vide mellem en benzin- og en dieseldrevet bil	O O O O C F O O O O O O O
1102	Han startede med at ville revolutionere en hel masse .	han startede med at ville revolutionere en hel masse	han startede med at ville revolutionere en hel masse	O C O O F F O O O	han startede revolutionere med at ville en hel masse	O C F O O F O O O
1103	Hans debut inden for filmbranchen led en krank skæbne .	hans debut inden for filmbranchen led en krank skæbne	hans debut inden for filmbranchen led en krank skæbne	O O O O O C O O O	hans debut inden for filmbranchen led en krank skæbne	O O O O O C O O O
1104	I stedet kommer der en ny mellemklassemodel om et års tid , Empressa , som formentlig også til den tid indlemmes i det danske modelprogram .	i stedet kommer der en ny mellemklassemodel om et års tid empressa som formentlig også til den tid indlemmes i det danske modelprogram	i stedet kommer der en ny mellemklassemodel om et års tid empressa som formentlig også til den tid i indlemmes det danske modelprogram	O O C O O O O O O O O O O O O O O O O F O O O	i stedet der en ny mellemklassemodel om et års tid empressa som formentlig også til kommer den tid indlemmes i det danske modelprogram	O O O O O O O O O O O O O O O F O O C O O O O
1105	Der er masser af hip i den , men den mangler lissom det sidste pift - også selv om den har herlige Tom McEwan , som kan pifte - ud mellem tænderne - og meget mere : Blandt andet synge rock som en parodi på en opblæst koncertsanger .	der er masser af hip i den men den mangler lissom det sidste pift også selv om den har herlige tom mcewan som kan pifte ud mellem tænderne og meget mere blandt andet synge rock som en parodi på en opblæst koncertsanger	er der masser af hip i den men den mangler lissom det sidste pift også selv om den har herlige tom mcewan som kan pifte ud mellem tænderne og meget mere blandt andet synge rock som en parodi på en opblæst koncertsanger	F O O O O O O O O C O O O O O O O O C O O O O F F O O O O O O O O C O O O O O O O O	har der er masser af hip i den men den mangler lissom det sidste pift også selv om den herlige tom mcewan som kan ud mellem tænderne synge og meget mere blandt andet pifte rock som en parodi på en opblæst koncertsanger	F O C O O O O O O O C O O O O O O O O O O O O C O O O F O O O O O F O O O O O O O O
1106	Og jeg kan garantere for , at hun kan klare det .	og jeg kan garantere for at hun kan klare det	og jeg kan for garantere at kan hun klare det	O O C O F O F O C O	kan og jeg garantere for at hun klare det kan	F O O C O O O C O F
1107	"Men nu får vi altså en chance , både ESA og NASA åbner mulighed for at få små robuste forsknings- og undervisningsdrabanter med som blaffere ved de kommercielle opsendelser , "" siger John Jørgensen ."	men nu får vi altså en chance både esa og nasa åbner mulighed for at få små robuste forsknings- og undervisningsdrabanter med som blaffere ved de kommercielle opsendelser siger john jørgensen	men nu får vi altså en chance både esa og nasa mulighed åbner for få at små robuste forsknings- og undervisningsdrabanter med som blaffere ved de kommercielle opsendelser siger john jørgensen	O O C O O O O O O O O O F O F O O O O O O O O O O O O O C O O	men nu vi altså en chance både esa og nasa åbner mulighed får for at få små robuste forsknings- og undervisningsdrabanter siger med som blaffere ved de kommercielle opsendelser john jørgensen	O O O O O O O O O O C O F O O C O O O O O F O O O O O O O O O
1108	Resultatet er blevet meningsmålinger , hvor vælgerne deler sig i tre næsten lige store grupper mellem Bush , Clinton og den sandsynlige tredje mand i valgkampen , den hovedrige forretningsmand Ross Perot fra Texas .	resultatet er blevet meningsmålinger hvor vælgerne deler sig i tre næsten lige store grupper mellem bush clinton og den sandsynlige tredje mand i valgkampen den hovedrige forretningsmand ross perot fra texas	resultatet er meningsmålinger blevet hvor deler vælgerne sig i tre næsten lige store grupper mellem bush clinton og den sandsynlige tredje mand i valgkampen den hovedrige forretningsmand ross perot fra texas	O C O F O F O O O O O O O O O O O O O O O O O O O O O O O O O	resultatet blevet meningsmålinger hvor vælgerne deler sig i tre næsten lige store grupper mellem bush clinton og den sandsynlige er tredje mand i valgkampen den hovedrige forretningsmand ross perot fra texas	O C O O O C O O O O O O O O O O O O O F O O O O O O O O O O O
1109	Det Danske Filminstitut fyldte 20 år den 1. oktober og markerer det lørdag med en filmfest , hvor 75 udvalgte film - af de 240 , som instituttet i alt har støttet i årenes løb - vises i 130 af landets 160 biografer .	det danske filminstitut fyldte 20 år den 1. oktober og markerer det lørdag med en filmfest hvor 75 udvalgte film af de 240 som instituttet i alt har støttet i årenes løb vises i 130 af landets 160 biografer	det danske filminstitut fyldte 20 år den 1. oktober og markerer det lørdag med en filmfest hvor 75 film udvalgte af de 240 som instituttet i har alt støttet i årenes løb vises i 130 af landets 160 biografer	O O O C O O O O O O C O O O O O O O O F O O O O O O F O C O O O C O O O O O O	det danske fyldte filminstitut 20 år den 1. oktober og udvalgte markerer det lørdag med en filmfest hvor 75 film af de 240 som instituttet i alt støttet i årenes løb vises i 130 af har landets 160 biografer	O O F O O O O O O O F C O O O O O O O O O O O O O O O C O O O C O O O F O O O
1110	""" Men det er næppe den to-årige , der selv har stukket nålene ind i sin krop ."	men det er næppe den to-årige der selv har stukket nålene ind i sin krop	men det næppe er den to-årige der har selv stukket nålene ind i sin krop	O O O F O O O F O C O O O O O	men det er næppe den to-årige stukket der selv har nålene ind i sin krop	O O C O O O F O O C O O O O O
1111	""" Jeg synes , det er flot , at Stefan Rasmussen får denne fornemme udmærkelse for sin indsats ."	jeg synes det er flot at stefan rasmussen får denne fornemme udmærkelse for sin indsats	jeg synes det flot er at stefan får rasmussen denne fornemme udmærkelse for sin indsats	O C O O F O O F O O O O O O O	jeg synes det er flot at stefan rasmussen denne fornemme udmærkelse for sin får indsats	O C O C O O O O O O O O O F O
1112	""" De striv'de "" fik rø'e tæsk og rø'e kort ."	de striv'de fik rø'e tæsk og rø'e kort	de striv'de fik rø'e tæsk og rø'e kort	O O C O O O O O	de striv'de rø'e tæsk og rø'e fik kort	O O O O O O F O
1113	Øjnene var blevet mere slørede , eller også var det mørket der var blevet tættere .	øjnene var blevet mere slørede eller også var det mørket der var blevet tættere	øjnene var mere blevet slørede eller var også det mørket der var blevet tættere	O C O F O O F O O O O C C O	øjnene mere slørede eller var også blevet var det mørket der blevet tættere var	O O O O F O F C O O O C O F
1114	"Jeg tænkte : Det er det her , Hollywood vil have , de skal synes , man er sexet . """	jeg tænkte det er det her hollywood vil have de skal synes man er sexet	jeg er tænkte det det her hollywood vil have de skal synes man er sexet	O F F O O O O C C O F F O C O	jeg tænkte det det skal her hollywood vil er have de synes man er sexet	O C O O F O O C F C O C O F O
1115	I dag er hun ovenpå og arbejder frivilligt hos Lænken som kontaktperson for andre alkoholikere .	i dag er hun ovenpå og arbejder frivilligt hos lænken som kontaktperson for andre alkoholikere	i dag er hun ovenpå og frivilligt arbejder hos lænken som kontaktperson for andre alkoholikere	O O C O O O O F O O O O O O O	i dag er hun ovenpå og frivilligt hos lænken som kontaktperson for andre alkoholikere arbejder	O O C O O O O O O O O O O O F
1116	Helt så enkel og unuanceret er situationen dog ikke .	helt så enkel og unuanceret er situationen dog ikke	helt så enkel og er unuanceret situationen dog ikke	O O O O F O O O O	helt så enkel og unuanceret er situationen dog ikke	O O O O O C O O O
1117	Som eksempel anføres , at hvis en person tjener 300.000 kr. , kan vedkommende få uddannelsesstøtte i én måned .	som eksempel anføres at hvis en person tjener 300.000 kr. kan vedkommende få uddannelsesstøtte i én måned	som eksempel anføres at hvis en person tjener 300.000 kr. få kan vedkommende uddannelsesstøtte i én måned	O O C O O O O C O O F F O O O O O	som eksempel at få hvis anføres en person tjener 300.000 kr. kan vedkommende uddannelsesstøtte i én måned	O O O F O F O O C O O C O O O O O
1118	Denne del af arbejdsgruppens arbejde forventer indenrigsministeriet er afsluttet inden den 1. juni 1984 .	denne del af arbejdsgruppens arbejde forventer indenrigsministeriet er afsluttet inden den 1. juni 1984	denne del af arbejdsgruppens arbejde forventer indenrigsministeriet er inden afsluttet den 1. juni 1984	O O O O O C O C O F O O O O	denne del af forventer arbejdsgruppens arbejde indenrigsministeriet er inden den afsluttet 1. juni 1984	O O O F O O O C O O F O O O
1119	De store , forkalkede kar kan udvides , idet man fører en ballon ned i dem og puster den op på de snævre steder .	de store forkalkede kar kan udvides idet man fører en ballon ned i dem og puster den op på de snævre steder	de forkalkede store kar kan udvides idet man en fører ballon ned i dem puster og den op på de snævre steder	O F O O C C O O O F O O O O F O O O O O O O	de store forkalkede kar udvides idet man kan en ballon ned i dem og puster fører den op på de snævre steder	O O C O C O O F O O O O O O F F O O O O O O
1120	""" Nu bliver jeg kineser , "" siger datteren i "" Klub Held og Glæde "" , da hun kører over den kinesiske grænse ."	nu bliver jeg kineser siger datteren i klub held og glæde da hun kører over den kinesiske grænse	nu bliver jeg kineser siger datteren i klub held og glæde da hun over kører den kinesiske grænse	O C O O C O O O O O O O O O F O O O	nu jeg kineser datteren i klub held siger bliver og glæde da hun kører over den kinesiske grænse	O O O O O O O F F O O O O C O O O O
1121	Efter fristens udløb trækker vi lod blandt alle indsendte løsninger , og de heldige vil få tilsendt deres gevinst i god tid inden juleaften .	efter fristens udløb trækker vi lod blandt alle indsendte løsninger og de heldige vil få tilsendt deres gevinst i god tid inden juleaften	efter fristens trækker udløb vi lod blandt alle indsendte løsninger og de heldige vil få tilsendt deres gevinst i god tid inden juleaften	O O F O O O O O C O O O O C F F O O O O O O O	efter fristens udløb få vi lod blandt alle løsninger og de heldige vil tilsendt deres gevinst trækker i god indsendte tid inden juleaften	O O O F O O O O O O O O C C O O F O O F O O O
1122	"Vi vil bede de andre partier studere vores papir og høre , om ikke de mener , at det er på det grundlag , vi skal starte i loyalitet over for nej'et ved folkeafstemningen , "" mener Steen Gade ."	vi vil bede de andre partier studere vores papir og høre om ikke de mener at det er på det grundlag vi skal starte i loyalitet over for nej'et ved folkeafstemningen mener steen gade	vi vil bede de andre partier vores studere papir høre og om ikke de mener at det er på det grundlag vi skal starte i loyalitet over for nej'et ved folkeafstemningen mener steen gade	O C C O O O O F O F O O O O C O O C O O O O F F O O O O O O O C O O	vi bede de andre partier vil vores papir og om ikke de mener starte at det er høre på det grundlag vi skal i loyalitet studere over for nej'et ved folkeafstemningen mener steen gade	O C O O O F O O O O O O C F O O C F O O O O C O O F O O O O O C O O
1123	Nu skal der bruges muskler .	nu skal der bruges muskler	nu skal der muskler bruges	O C O O F	nu skal bruges der muskler	O C F O O
1124	Der arbejdede han de næste 10 år .	der arbejdede han de næste 10 år	arbejdede der han de næste 10 år	F O O O O O O	der han de næste 10 år arbejdede	O O O O O O F
1125	Men nu bør vi i stedet alliere os med kunderne .	men nu bør vi i stedet alliere os med kunderne	men nu bør vi i stedet alliere os med kunderne	O O C O O O C O O O	men nu bør vi i stedet os med alliere kunderne	O O C O O O O O F O
1126	"Der er lange , rolige scener som på et teater , "" siger den 23-årige dansker afværgende ."	der er lange rolige scener som på et teater siger den 23-årige dansker afværgende	der lange er rolige scener som på et siger teater den 23-årige dansker afværgende	O O F O O O O O F O O O O C	der afværgende er lange rolige siger scener som på et teater den 23-årige dansker	O F C O O F O O O O O O O O
1127	- Hvad kom der ud af det med ham , der steg fra himlen ned , fangede I ham ?	hvad kom der ud af det med ham der steg fra himlen ned fangede i ham	hvad kom der ud af det med ham der fra steg himlen fangede ned i ham	O C O O O O O O O O F O F O O O	steg hvad kom fangede der ud af det med ham der fra himlen ned i ham	F O C F O O O O O O O O O O O O
1128	Miljøbevidste postfolk på nogle af Colorados postkontorer fik den idé at opstille poser til genbrugspapir ved siden af folks postkasser .	miljøbevidste postfolk på nogle af colorados postkontorer fik den idé at opstille poser til genbrugspapir ved siden af folks postkasser	miljøbevidste postfolk på nogle af colorados postkontorer fik den idé at opstille poser til genbrugspapir ved siden af folks postkasser	O O O O O O O C O O O C O O O O O O O O	miljøbevidste postfolk på nogle af colorados postkontorer fik den idé opstille at poser til genbrugspapir ved siden af folks postkasser	O O O O O O O C O O F O O O O O O O O O
1129	Blandt andet skal man lave en fed video med super-lyd til præsentationsprogrammerne .	blandt andet skal man lave en fed video med super-lyd til præsentationsprogrammerne	blandt andet lave skal man en fed video med super-lyd til præsentationsprogrammerne	O O F F O O O O O O O O	blandt andet man lave en fed video med super-lyd til præsentationsprogrammerne skal	O O O C O O O O O O O F
1130	Jeg synes , det er så kedeligt , at det altid foregår i sengen i soveværelset .	jeg synes det er så kedeligt at det altid foregår i sengen i soveværelset	jeg synes det er så kedeligt at det altid i foregår sengen i soveværelset	O C O C O O O O O O F O O O	er jeg synes det så kedeligt at det altid foregår i sengen i soveværelset	F O C O O O O O O C O O O O
1131	""" Du kender ikke muslimerne . Det er fantastisk . De lyver én lige op i ansigtet , selv om det er indlysende , at de gør det . Det er , som om det er en del af deres kultur . """	du kender ikke muslimerne det er fantastisk de lyver én lige op i ansigtet selv om det er indlysende at de gør det det er som om det er en del af deres kultur	kender du ikke muslimerne det er fantastisk de lyver én lige op i ansigtet selv om det indlysende er at gør de det det er som om det er en del af deres kultur	F O O O O C O O C O O O O O O O O O F O F O O O C O O O C O O O O O	du kender ikke muslimerne det fantastisk de én lige op i er ansigtet selv om det indlysende at de gør lyver det det er som om det er en del af er deres kultur	O C O O O O O O O O O F O O O O O O O C F O O C O O O C O O O F O O
1132	Andre slugte søm og glasskår eller skar pulsårerne op .	andre slugte søm og glasskår eller skar pulsårerne op	andre søm slugte og glasskår skar eller pulsårerne op	O O F O O F O O O	andre slugte skar søm og glasskår eller pulsårerne op	O C F O O O O O O
1133	En daglig kalorienedsættelse på blot 200 kalorier vil give et månedligt vægttab på et kilo .	en daglig kalorienedsættelse på blot 200 kalorier vil give et månedligt vægttab på et kilo	en daglig kalorienedsættelse på blot 200 kalorier vil give et månedligt vægttab på et kilo	O O O O O O O C C O O O O O O	en daglig kalorienedsættelse på blot 200 kalorier give et månedligt vægttab på vil et kilo	O O O O O O O C O O O O F O O
1134	- Om lidt ringer den telefon , sagde jeg .	om lidt ringer den telefon sagde jeg	om lidt den ringer sagde telefon jeg	O O O F F O O	om ringer lidt den telefon sagde jeg	O F O O O C O
1135	Også Bjerregaards komplicerede private spekulationer i og omkring Brøndby IF er blevet hudflettet på en lidet flatterende måde .	også bjerregaards komplicerede private spekulationer i og omkring brøndby if er blevet hudflettet på en lidet flatterende måde	også bjerregaards komplicerede private spekulationer i og omkring brøndby if er blevet på hudflettet en lidet flatterende måde	O O O O O O O O O O C C O F O O O O	er blevet også bjerregaards komplicerede private spekulationer i og omkring brøndby if hudflettet på en lidet flatterende måde	F F O O O O O O O O O O C O O O O O
