idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
839	Hvort sem að gagnrýnisraddirnar höfðu úrslitaáhrif á valið á buxnadragtinni frá Altuzarra sem Meghan klæddist í gær skal þó látið ósagt .	hvort sem að gagnrýnisraddirnar höfðu úrslitaáhrif á valið á buxnadragtinni frá altuzarra sem meghan klæddist í gær skal þó látið ósagt	hvort sem að gagnrýnisraddirnar höfðu úrslitaáhrif á valið á buxnadragtinni frá altuzarra sem meghan í klæddist skal gær þó látið ósagt	O O O O C O O O O O O O O O O F F O O C O	hvort sem að höfðu gagnrýnisraddirnar úrslitaáhrif á látið valið á buxnadragtinni frá altuzarra sem meghan klæddist í gær skal þó ósagt	O O O F O O O F O O O O O O O C O O C O O
840	Embættismenn frá velferðarsviði borgarinnar komu á fundinn og gerðu grein fyrir stöðunni og segir Vigdís ljóst að staðan sé grafalvarleg .	embættismenn frá velferðarsviði borgarinnar komu á fundinn og gerðu grein fyrir stöðunni og segir vigdís ljóst að staðan sé grafalvarleg	embættismenn frá velferðarsviði borgarinnar komu á fundinn og grein gerðu fyrir stöðunni segir og vigdís ljóst að staðan sé grafalvarleg	O O O O C O O O O F O O F O O O O O C O	embættismenn frá velferðarsviði borgarinnar komu á fundinn og gerðu segir grein fyrir sé stöðunni og vigdís ljóst að staðan grafalvarleg	O O O O C O O O C F O O F O O O O O O O
841	Hann segir að hópar á borð við eldri borgara sem hafi rýmri tíma spili þó jafnvel allt árið um kring .	hann segir að hópar á borð við eldri borgara sem hafi rýmri tíma spili þó jafnvel allt árið um kring	hann segir að hópar á borð við eldri borgara sem rýmri hafi spili tíma þó jafnvel allt árið um kring	O C O O O O O O O O O F F O O O O O O O	hann segir að hópar á spili borð við eldri borgara sem hafi rýmri tíma þó jafnvel allt árið um kring	O C O O O F O O O O O C O O O O O O O O
842	Eftir það verður farið í að búa til nýjar sýningar , þó að leikhúsið sé starfrækt allan ársins hring .	eftir það verður farið í að búa til nýjar sýningar þó að leikhúsið sé starfrækt allan ársins hring	eftir það verður farið í að til búa nýjar sýningar þó að sé leikhúsið starfrækt allan ársins hring	O O C C O O O F O O O O F O C O O O	eftir það í að til nýjar sýningar farið þó að leikhúsið verður sé starfrækt allan ársins búa hring	O O O O O O O F O O O F C C O O F O
843	Listamaðurinn lenti reyndar í tímahraki og tjáði skógarverði að hann hefði þurft tvær klukkustundir í viðbót til að fullkomna verkið .	listamaðurinn lenti reyndar í tímahraki og tjáði skógarverði að hann hefði þurft tvær klukkustundir í viðbót til að fullkomna verkið	listamaðurinn lenti reyndar í tímahraki og skógarverði tjáði að hefði hann þurft tvær klukkustundir í viðbót til að fullkomna verkið	O C O O O O O F O F O C O O O O O O C O	hefði listamaðurinn reyndar í tímahraki og skógarverði að lenti hann þurft tvær klukkustundir í viðbót til að tjáði fullkomna verkið	F O O O O O O O F O C O O O O O O F C O
844	Fljótlega kom í ljós að það væri ekki raunhæft fyrir eitt tökulið að fanga viðburðinn með upptökum á einni hátíð .	fljótlega kom í ljós að það væri ekki raunhæft fyrir eitt tökulið að fanga viðburðinn með upptökum á einni hátíð	fljótlega í kom ljós að væri það ekki raunhæft fyrir eitt tökulið að fanga viðburðinn með upptökum á einni hátíð	O O F O O F O O O O O O O C O O O O O O	fljótlega kom í ljós að það ekki raunhæft fyrir eitt tökulið að fanga viðburðinn með upptökum á einni hátíð væri	O C O O O O O O O O O O C O O O O O O F
845	Búið er að leggja gervigras á hluta Ingólfstorgs auk þess sem fimmtán bekkjum og borðum hefur verið komið þar fyrir .	búið er að leggja gervigras á hluta ingólfstorgs auk þess sem fimmtán bekkjum og borðum hefur verið komið þar fyrir	búið leggja er að gervigras á hluta ingólfstorgs auk þess sem fimmtán bekkjum og borðum hefur verið þar komið fyrir	C F F O O O O O O O O O O O O C C O F O	er komið búið að leggja gervigras á hluta ingólfstorgs hefur auk þess sem fimmtán bekkjum og borðum verið þar fyrir	C F F O C O O O O F O O O O O O O C O O
846	Deildin er kannski ekki besta deild í heimi , en mér finnst dómarar hafa verið langt undir pari í sumar .	deildin er kannski ekki besta deild í heimi en mér finnst dómarar hafa verið langt undir pari í sumar	er deildin kannski ekki besta deild í heimi en mér finnst dómarar hafa langt verið undir pari í sumar	F O O O O O O O O O C O C O F O O O O	deildin er kannski verið ekki besta hafa deild í heimi en mér finnst dómarar langt undir pari í sumar	O C O F O O F O O O O O C O O O O O O
847	Evrópusambandið hefur mótað ákveðna stefnu og ýmis aðildarríki stefna að því að allt ræktað land verði lífrænt eftir fáa áratugi .	evrópusambandið hefur mótað ákveðna stefnu og ýmis aðildarríki stefna að því að allt ræktað land verði lífrænt eftir fáa áratugi	hefur evrópusambandið mótað ákveðna stefnu og ýmis aðildarríki stefna að því að allt ræktað land lífrænt verði eftir fáa áratugi	F O C O O O O O C O O O O O O O F O O O	evrópusambandið hefur mótað ákveðna stefnu og ýmis aðildarríki að því að verði allt ræktað land lífrænt eftir stefna fáa áratugi	O C C O O O O O O O O F O O O O O F O O
848	Það verður bara að koma í ljós hvernig mér verður tekið þar , sagði Arnór léttur eftir leik .	það verður bara að koma í ljós hvernig mér verður tekið þar sagði arnór léttur eftir leik	verður það bara að koma í ljós hvernig mér verður sagði tekið þar arnór léttur eftir leik	F O O O C O O O O C F F O O O O O	sagði það bara að koma í ljós verður tekið hvernig mér verður þar arnór léttur eftir leik	F O O O C O O F F O O C O O O O O
849	Hann taldi enn fremur að úthlutanir úr Orkusjóði í fyrrahaust hafi þar af leiðandi ekki verið í samræmi við lög .	hann taldi enn fremur að úthlutanir úr orkusjóði í fyrrahaust hafi þar af leiðandi ekki verið í samræmi við lög	hann taldi enn fremur að úthlutanir úr orkusjóði í fyrrahaust hafi þar af leiðandi ekki í verið samræmi við lög	O C O O O O O O O O C O O O O O F O O O	hann enn fremur að úthlutanir úr orkusjóði í fyrrahaust þar taldi af leiðandi ekki verið hafi í samræmi við lög	O O O O O O O O O O F O O O C F O O O O
850	Fjóla segir liðið hafa fundið fyrir miklum stuðningi frá samnemendum sínum í Kvennó .	fjóla segir liðið hafa fundið fyrir miklum stuðningi frá samnemendum sínum í kvennó	segir fjóla liðið hafa fundið fyrir miklum stuðningi frá samnemendum sínum í kvennó	F O O C C O O O O O O O O	fjóla liðið hafa fyrir miklum stuðningi frá samnemendum sínum fundið í segir kvennó	O O C O O O O O O F O F O
851	Slysið varð um hálfþrjúleytið í gær , en þar var tilkynnt um bíl í ánni .	slysið varð um hálfþrjúleytið í gær en þar var tilkynnt um bíl í ánni	slysið um varð hálfþrjúleytið í gær en var þar tilkynnt um bíl í ánni	O O F O O O O F O C O O O O	slysið varð um var hálfþrjúleytið í gær en þar um tilkynnt bíl í ánni	O C O F O O O O O O F O O O
852	Eldvarnarstofnun Kaliforníu hefur haldið utan um upplýsingar um alla elda í ríkinu síðan 1932 .	eldvarnarstofnun kaliforníu hefur haldið utan um upplýsingar um alla elda í ríkinu síðan 1932	eldvarnarstofnun kaliforníu hefur utan haldið um upplýsingar um alla elda í ríkinu síðan 1932	O O C O F O O O O O O O O O	eldvarnarstofnun kaliforníu haldið utan um upplýsingar um alla elda í hefur ríkinu síðan 1932	O O C O O O O O O O F O O O
853	Bandaríska jarðvísindastofnunin segir upptök skjálftans hafa verið um 50 kílómetra norðaustur af höfuðborginni Mataram .	bandaríska jarðvísindastofnunin segir upptök skjálftans hafa verið um 50 kílómetra norðaustur af höfuðborginni mataram	bandaríska segir jarðvísindastofnunin upptök skjálftans hafa verið um 50 kílómetra norðaustur af höfuðborginni mataram	O F O O O C C O O O O O O O	bandaríska segir jarðvísindastofnunin upptök skjálftans hafa um 50 kílómetra norðaustur verið af höfuðborginni mataram	O F O O O C O O O O F O O O
854	Matarbloggarinn Þorbjörg Snorradóttir ólst upp við að fá ris à l'amande í eftirrétt á aðfangadag .	matarbloggarinn þorbjörg snorradóttir ólst upp við að fá ris à l'amande í eftirrétt á aðfangadag	matarbloggarinn þorbjörg snorradóttir upp ólst við fá að ris à l'amande í eftirrétt á aðfangadag	O O O O F O F O O O O O O O O	matarbloggarinn þorbjörg snorradóttir ólst upp við að ris à l'amande í eftirrétt á fá aðfangadag	O O O C O O O O O O O O O F O
855	Heildarlaun á almennum vinnumarkaði voru að meðaltali 730 þúsund krónur á mánuði árið 2017 hjá fullvinnandi starfsmönnum .	heildarlaun á almennum vinnumarkaði voru að meðaltali 730 þúsund krónur á mánuði árið 2017 hjá fullvinnandi starfsmönnum	heildarlaun á almennum vinnumarkaði voru að meðaltali 730 þúsund krónur á mánuði árið 2017 hjá fullvinnandi starfsmönnum	O O O O C O O O O O O O O O O O O	heildarlaun voru á almennum vinnumarkaði að meðaltali 730 þúsund krónur á mánuði árið 2017 hjá fullvinnandi starfsmönnum	O F O O O O O O O O O O O O O O O
856	Ég á ekki eitt einasta bindi og ég ætla ekki að breyta því .	ég á ekki eitt einasta bindi og ég ætla ekki að breyta því	ég á ekki eitt einasta bindi og ég ekki ætla breyta að því	O C O O O O O O O F F O O	ég ekki eitt einasta bindi og ég breyta ætla ekki að því á	O O O O O O O F C O O O F
857	Það liggur alveg ljóst fyrir að skoðanir okkar Sveinbjargar fara ekki alltaf saman .	það liggur alveg ljóst fyrir að skoðanir okkar sveinbjargar fara ekki alltaf saman	það liggur alveg ljóst fyrir að skoðanir okkar sveinbjargar fara ekki alltaf saman	O C O O O O O O O C O O O	það liggur alveg ljóst fyrir að fara skoðanir okkar sveinbjargar ekki alltaf saman	O C O O O O F O O O O O O
858	Seinni hálfleikurinn var gríðarlega spennandi og jafntefli varð á endanum niðurstaðan eins og áður sagði .	seinni hálfleikurinn var gríðarlega spennandi og jafntefli varð á endanum niðurstaðan eins og áður sagði	seinni hálfleikurinn gríðarlega var spennandi og varð jafntefli á endanum niðurstaðan eins og áður sagði	O O O F O O F O O O O O O O O	seinni hálfleikurinn var gríðarlega spennandi og jafntefli á endanum niðurstaðan eins og áður varð sagði	O O C O O O O O O O O O O F O
859	Þegar hún er spurð að því hvert hún stefni þá stendur ekki á svarinu .	þegar hún er spurð að því hvert hún stefni þá stendur ekki á svarinu	þegar hún er spurð að því hvert hún stendur stefni þá ekki á svarinu	O O C C O O O O F F O O O O	spurð þegar hún er að því hvert hún stefni þá ekki stendur á svarinu	F O O C O O O O C O O F O O
860	Eini raunhæfi kosturinn er að hafa flugvöllinn áfram í Vatnsmýrinni .	eini raunhæfi kosturinn er að hafa flugvöllinn áfram í vatnsmýrinni	eini raunhæfi kosturinn er að hafa flugvöllinn áfram í vatnsmýrinni	O O O C O C O O O O	eini raunhæfi er kosturinn að hafa flugvöllinn áfram í vatnsmýrinni	O O F O O C O O O O
861	Samkvæmt því verður Mette Frederiksen næsti og yngsti forsætisráðherra Danmerkur .	samkvæmt því verður mette frederiksen næsti og yngsti forsætisráðherra danmerkur	samkvæmt því mette verður frederiksen næsti og yngsti forsætisráðherra danmerkur	O O O F O O O O O O	samkvæmt því verður mette frederiksen næsti og yngsti forsætisráðherra danmerkur	O O C O O O O O O O
862	Mikið er um þetta talað og fjölmargar getgátur á lofti .	mikið er um þetta talað og fjölmargar getgátur á lofti	er mikið um þetta talað og fjölmargar getgátur á lofti	F O O O C O O O O O	mikið um þetta talað og fjölmargar getgátur á lofti er	O O O C O O O O O F
863	Þá horfir Depp heldur ekki á sjálfan sig í kvikmyndum .	þá horfir depp heldur ekki á sjálfan sig í kvikmyndum	þá horfir depp heldur ekki á sjálfan sig í kvikmyndum	O C O O O O O O O O	þá depp heldur ekki á horfir sjálfan sig í kvikmyndum	O O O O O F O O O O
864	Félagsþjónusta Hafnarfjarðar svaraði erindi ráðuneytisins samdægurs og sendi gögn með .	félagsþjónusta hafnarfjarðar svaraði erindi ráðuneytisins samdægurs og sendi gögn með	félagsþjónusta hafnarfjarðar erindi svaraði ráðuneytisins samdægurs sendi og gögn með	O O O F O O F O O O	félagsþjónusta hafnarfjarðar erindi ráðuneytisins samdægurs og sendi gögn með svaraði	O O O O O O C O O F
865	Rétt eins og í KEF ; ríkið hefur skipulagsvald þar .	rétt eins og í kef ríkið hefur skipulagsvald þar	rétt eins og í kef ríkið hefur skipulagsvald þar	O O O O O O C O O	rétt eins hefur og í kef ríkið skipulagsvald þar	O O F O O O O O O
866	Rúnar bætti fyrra Íslandsmet Geirs Ómarssonar um rúmar 5 mínútur .	rúnar bætti fyrra íslandsmet geirs ómarssonar um rúmar 5 mínútur	rúnar bætti fyrra íslandsmet geirs ómarssonar um rúmar 5 mínútur	O C O O O O O O O O	rúnar bætti fyrra íslandsmet geirs ómarssonar um rúmar 5 mínútur	O C O O O O O O O O
867	Lagt til að Norðurlöndin samræmi enn frekar stefnu sína í loftslagsmálum	lagt til að norðurlöndin samræmi enn frekar stefnu sína í loftslagsmálum	til lagt að samræmi norðurlöndin enn frekar stefnu sína í loftslagsmálum	O F O F O O O O O O O	lagt til að norðurlöndin enn frekar stefnu samræmi sína í loftslagsmálum	C O O O O O O F O O O
868	Þessi bíll á að fara á markað fyrir lok áratugarins .	þessi bíll á að fara á markað fyrir lok áratugarins	þessi bíll á að fara á markað fyrir lok áratugarins	O O C O C O O O O O	þessi bíll á að á markað fara fyrir lok áratugarins	O O C O O O F O O O
869	Hundruð komu saman í París í dag og vottuðu lögreglumanninum Arnaud Beltrame virðingu sína í dag þegar hann var borinn til grafar í París .	hundruð komu saman í parís í dag og vottuðu lögreglumanninum arnaud beltrame virðingu sína í dag þegar hann var borinn til grafar í parís	hundruð saman komu í parís í dag vottuðu og lögreglumanninum arnaud beltrame virðingu sína í dag þegar hann var borinn til grafar í parís	O O F O O O O F O O O O O O O O O O C C O O O O	hundruð komu saman var í parís í dag og vottuðu lögreglumanninum arnaud beltrame virðingu sína í dag þegar hann til grafar borinn í parís	O C O F O O O O O C O O O O O O O O O O O F O O
870	Bandaríska heilbrigðiseftirlitið , CDC , gaf út drög að skýrslu í dag um fjölda dauðsfalla í Bandaríkjunum í fyrra sem rekja má til lyfja .	bandaríska heilbrigðiseftirlitið cdc gaf út drög að skýrslu í dag um fjölda dauðsfalla í bandaríkjunum í fyrra sem rekja má til lyfja	bandaríska heilbrigðiseftirlitið cdc út gaf drög að skýrslu í dag um fjölda dauðsfalla í bandaríkjunum í fyrra rekja sem má til lyfja	O O O O F O O O O O O O O O O O O F O C O O	bandaríska heilbrigðiseftirlitið cdc út drög að rekja skýrslu í dag um fjölda dauðsfalla í bandaríkjunum í fyrra sem má til lyfja gaf	O O O O O O F O O O O O O O O O O O C O O F
871	Ljóst er þó að ekki hefur reynst unnt að manna allar þær rannsóknir sem embættið hefur með höndum eins og sakir standa nú .	ljóst er þó að ekki hefur reynst unnt að manna allar þær rannsóknir sem embættið hefur með höndum eins og sakir standa nú	ljóst er þó að ekki hefur reynst unnt að manna allar þær rannsóknir sem embættið hefur með höndum eins og sakir standa nú	O C O O O F F O O C O O O O O C O O O O O O O	ljóst þó að ekki hefur er unnt að manna allar þær rannsóknir sem embættið með höndum reynst eins og sakir standa hefur nú	O O O O C F O O C O O O O O O O F O O O O F O
872	Það var ekki fyrr en ég var orðin fullorðin og fór að vinna úr þessu öllu saman sem ég hætti að pissa í rúmið .	það var ekki fyrr en ég var orðin fullorðin og fór að vinna úr þessu öllu saman sem ég hætti að pissa í rúmið	það ekki var fyrr en var ég orðin fullorðin og fór að úr vinna þessu öllu saman sem hætti ég að pissa í rúmið	O O F O O F O C O O C O O F O O O O F O O C O O	það var ekki hætti fyrr en ég var fullorðin og að vinna úr þessu orðin öllu saman sem fór ég að pissa í rúmið	O C O F O O O F O O O C O O F O O O F O O C O O
873	Hjúkrunarfræðingar leggi á sig margra ára nám , gangi ekki í kjólum og með kappa og sinntu fjölþættu og afar mikilvægu hlutverki innan heilbrigðiskerfisins .	hjúkrunarfræðingar leggi á sig margra ára nám gangi ekki í kjólum og með kappa og sinntu fjölþættu og afar mikilvægu hlutverki innan heilbrigðiskerfisins	hjúkrunarfræðingar leggi á sig margra ára nám ekki gangi í kjólum og með kappa sinntu og fjölþættu og afar mikilvægu hlutverki innan heilbrigðiskerfisins	O C O O O O O O F O O O O O F O O O O O O O O	hjúkrunarfræðingar á sig margra ára nám ekki í kjólum og leggi með kappa og sinntu fjölþættu og afar mikilvægu gangi hlutverki innan heilbrigðiskerfisins	O O O O O O O O O O F O O O C O O O O F O O O
874	Þar á meðal Jóhann Berg Guðmundsson sem fór af velli eftir tæpan klukkutíma í leiknum á móti Albaníu vegna stífleika og eymsla í kálfa .	þar á meðal jóhann berg guðmundsson sem fór af velli eftir tæpan klukkutíma í leiknum á móti albaníu vegna stífleika og eymsla í kálfa	þar á meðal jóhann berg guðmundsson sem fór af velli eftir tæpan klukkutíma í leiknum á móti albaníu vegna stífleika og eymsla í kálfa	O O O O O O O C O O O O O O O O O O O O O O O O	þar á meðal jóhann berg guðmundsson sem fór af velli eftir tæpan klukkutíma í leiknum á móti albaníu vegna stífleika og eymsla í kálfa	O O O O O O O C O O O O O O O O O O O O O O O O
875	Sebastian Vettel náði fimmtugasta ráspól ferilsins í dag þegar hann tryggði sér ráspól fyrir mexíkóska kappaksturinn í Formúlu 1 sem fram fer á morgun .	sebastian vettel náði fimmtugasta ráspól ferilsins í dag þegar hann tryggði sér ráspól fyrir mexíkóska kappaksturinn í formúlu 1 sem fram fer á morgun	sebastian vettel náði fimmtugasta ráspól ferilsins í dag þegar hann sér tryggði ráspól fyrir mexíkóska kappaksturinn í formúlu 1 sem fer fram á morgun	O O C O O O O O O O O F O O O O O O O O F O O O	sebastian vettel fimmtugasta ráspól ferilsins í dag þegar hann náði tryggði sér ráspól fyrir mexíkóska kappaksturinn í formúlu fer 1 sem fram á morgun	O O O O O O O O O F C O O O O O O O F O O O O O
876	Halldóra Mogensen , formaður nefndarinnar , sagði í útvarpsþættinum Sprengisandi á Bylgjunni í morgun að hún ætlaði einnig að boða Braga Guðbrandsson á fundinn .	halldóra mogensen formaður nefndarinnar sagði í útvarpsþættinum sprengisandi á bylgjunni í morgun að hún ætlaði einnig að boða braga guðbrandsson á fundinn	halldóra mogensen formaður nefndarinnar sagði í útvarpsþættinum sprengisandi á bylgjunni í morgun að hún ætlaði einnig að braga boða guðbrandsson á fundinn	O O O O C O O O O O O O O O C O O O F O O O	halldóra mogensen formaður nefndarinnar í útvarpsþættinum sagði sprengisandi á bylgjunni í morgun að boða hún ætlaði einnig að braga guðbrandsson á fundinn	O O O O O O F O O O O O O F O C O O O O O O
877	Þar segir að ljóst sé að minni sveitarfélög geti ekki ráðið við verkefnið á þeim forsendum sem hafi verið kynntar í ljósi núgildandi fjárlaga .	þar segir að ljóst sé að minni sveitarfélög geti ekki ráðið við verkefnið á þeim forsendum sem hafi verið kynntar í ljósi núgildandi fjárlaga	segir þar að ljóst sé að minni sveitarfélög geti ekki við ráðið verkefnið á þeim forsendum hafi sem verið kynntar í ljósi núgildandi fjárlaga	F O O O C O O O C O O F O O O O F O C C O O O O	þar að kynntar ljóst sé að minni sveitarfélög ekki hafi ráðið við verkefnið á þeim forsendum sem verið segir í ljósi núgildandi fjárlaga geti	O O F O C O O O O F C O O O O O O C F O O O O F
878	Að minnsta kosti þrjátíu börn fórust og þrjátíu til viðbótar var saknað eftir að skóli þeirra hrundi í jarðskjálftanum sem skók Mexíkó á þriðjudag .	að minnsta kosti þrjátíu börn fórust og þrjátíu til viðbótar var saknað eftir að skóli þeirra hrundi í jarðskjálftanum sem skók mexíkó á þriðjudag	að minnsta kosti þrjátíu börn og fórust þrjátíu til var viðbótar saknað eftir að skóli þeirra hrundi í jarðskjálftanum sem mexíkó skók á þriðjudag	O O O O O O F O O F O C O O O O C O O O O F O O	að minnsta kosti þrjátíu börn og þrjátíu til viðbótar var saknað eftir að fórust skók skóli þeirra hrundi í jarðskjálftanum sem mexíkó á þriðjudag	O O O O O O O O O C C O O F F O O C O O O O O O
879	Var því bætt við að Ísland sé lítið land , allir þekki alla , og því þurfi ekki að hafa fyrir því að fá símanúmer viðkomandi , þú munt hvort sem hitta hann aftur .	var því bætt við að ísland sé lítið land allir þekki alla og því þurfi ekki að hafa fyrir því að fá símanúmer viðkomandi þú munt hvort sem hitta hann aftur	var bætt því við að ísland sé lítið land allir alla þekki og þurfi því ekki að hafa fyrir því að fá símanúmer viðkomandi þú hvort munt hitta sem hann aftur	C F O O O O C O O O O F O F O O O C O O O C O O O O F F O O O	var því bætt við að ísland lítið land fá allir sé þekki alla hafa og því þurfi ekki að fyrir því að símanúmer viðkomandi þú hvort sem munt hitta hann aftur	C O C O O O O O F O F C O F O O C O O O O O O O O O O F C O O
880	Það er náttúrlega alltaf einhver peningur í því að reka stúdíó en við erum að reyna að ýta tiltölulega óþekktum markaði í rétta átt , segir Ásgeir spurður um tekjumöguleikana í þessum bransa .	það er náttúrlega alltaf einhver peningur í því að reka stúdíó en við erum að reyna að ýta tiltölulega óþekktum markaði í rétta átt segir ásgeir spurður um tekjumöguleikana í þessum bransa	það er náttúrlega alltaf einhver peningur í því að reka stúdíó en við reyna erum að að ýta tiltölulega óþekktum markaði í rétta átt segir ásgeir um spurður tekjumöguleikana í þessum bransa	O C O O O O O O O C O O O F F O O C O O O O O O C O O F O O O O	reka það náttúrlega alltaf einhver peningur í því að stúdíó en við að reyna að ýta tiltölulega óþekktum markaði í rétta átt ásgeir erum spurður um segir tekjumöguleikana er í þessum bransa	F O O O O O O O O O O O O C O C O O O O O O O F C O F O F O O O
881	Eftir hörð mótmæli fjölmiðlanna var kröfu Glitnis um að gögnin yrðu haldlögð vísað frá , og þá féll Glitnir frá kröfu sinni um að fréttir byggðar á gögnunum yrðu teknar úr birtingu á netinu .	eftir hörð mótmæli fjölmiðlanna var kröfu glitnis um að gögnin yrðu haldlögð vísað frá og þá féll glitnir frá kröfu sinni um að fréttir byggðar á gögnunum yrðu teknar úr birtingu á netinu	eftir hörð mótmæli var fjölmiðlanna kröfu glitnis um að gögnin yrðu haldlögð vísað frá og þá glitnir féll frá kröfu sinni um að byggðar fréttir á gögnunum yrðu teknar úr birtingu á netinu	O O O F O O O O O O C O C O O O O F O O O O O F O O O C C O O O O	eftir hörð mótmæli fjölmiðlanna var kröfu glitnis um að gögnin byggðar yrðu haldlögð frá og þá féll yrðu glitnir vísað teknar frá kröfu sinni um að fréttir á gögnunum úr birtingu á netinu	O O O O C O O O O O F C O O O O C F O F F O O O O O O O O O O O O
882	Ég þekki ekki öll þessi tilfelli , en vissulega er það svo að þegar aðstæður eru erfiðar þá er hætta á að menn séu á toppnum of seint og nái þá ekki til baka .	ég þekki ekki öll þessi tilfelli en vissulega er það svo að þegar aðstæður eru erfiðar þá er hætta á að menn séu á toppnum of seint og nái þá ekki til baka	ég ekki þekki öll þessi tilfelli en er vissulega það svo að þegar aðstæður eru erfiðar þá er hætta á að menn á séu toppnum of seint nái og þá ekki til baka	O O F O O O O F O O O O O O C O O C O O O O O F O O O F O O O O O	ég ekki öll er þessi tilfelli en vissulega er það svo nái að þegar aðstæður eru erfiðar þá hætta á að menn séu á toppnum of seint og þá ekki til þekki baka	O O O F O O O O C O O F O O O C O O O O O O C O O O O O O O O F O
883	Heppnist það ekki hjá þeim þá hefur Matvælastofnun ( MAST ) þá skyldu að lögum að tryggja velferð dýra með virku og óboðuðu eftirliti og úrræðum , sem gildandi lög heimila stofnuninni að beita .	heppnist það ekki hjá þeim þá hefur matvælastofnun mast þá skyldu að lögum að tryggja velferð dýra með virku og óboðuðu eftirliti og úrræðum sem gildandi lög heimila stofnuninni að beita	heppnist það ekki hjá þeim þá hefur matvælastofnun mast þá skyldu að lögum að velferð tryggja dýra með virku og óboðuðu eftirliti og úrræðum sem gildandi heimila lög stofnuninni að beita	C O O O O O C O O O O O O O O F O O O O O O O O O O F O O O C	það ekki hjá þeim þá matvælastofnun mast þá skyldu að lögum að velferð dýra með virku og óboðuðu hefur eftirliti og úrræðum sem gildandi lög heimila heppnist stofnuninni að beita tryggja	O O O O O O O O O O O O O O O O O O F O O O O O O C F O O C F
884	Tveir voru fluttir þungt haldnir á sjúkrahús á laugardaginn með taugagaseitrun sem bresk stjórnvöld segja vera sama eitur og notað var til að eitra fyrir rússneska gagnnjósnaranum Sergei Skripal og dóttur hans fyrr á árinu .	tveir voru fluttir þungt haldnir á sjúkrahús á laugardaginn með taugagaseitrun sem bresk stjórnvöld segja vera sama eitur og notað var til að eitra fyrir rússneska gagnnjósnaranum sergei skripal og dóttur hans fyrr á árinu	tveir voru haldnir fluttir þungt á sjúkrahús á laugardaginn með taugagaseitrun sem bresk stjórnvöld segja vera sama eitur og notað var til að eitra fyrir rússneska gagnnjósnaranum sergei skripal og dóttur hans fyrr á árinu	O C F F O O O O O O O O O O C C O O O F F O O C O O O O O O O O O O O	tveir voru fluttir þungt segja haldnir á sjúkrahús á laugardaginn með taugagaseitrun sem vera eitra bresk stjórnvöld sama eitur og notað til að fyrir var rússneska gagnnjósnaranum sergei skripal og dóttur hans fyrr á árinu	O C C O F C O O O O O O O F F O O O O O C O O O F O O O O O O O O O O
885	Nokkur munur var á svörum eftir búsetu og voru íbúar höfuðborgarsvæðisins líklegri til að hafa gert miklar eða nokkrar breytingar á hegðun sinni ( 67% ) heldur en íbúar af landsbyggðinni ( 58% ) .	nokkur munur var á svörum eftir búsetu og voru íbúar höfuðborgarsvæðisins líklegri til að hafa gert miklar eða nokkrar breytingar á hegðun sinni 67% heldur en íbúar af landsbyggðinni 58%	nokkur munur var á svörum eftir búsetu og íbúar voru höfuðborgarsvæðisins líklegri til hafa að gert miklar eða nokkrar breytingar á hegðun sinni 67% heldur en íbúar af landsbyggðinni 58%	O O C O O O O O O F O O O F O C O O O O O O O O O O O O O O	nokkur munur var á svörum eftir búsetu voru og íbúar höfuðborgarsvæðisins líklegri til að gert miklar eða nokkrar breytingar á hegðun hafa sinni 67% heldur en íbúar af landsbyggðinni 58%	O O C O O O O F O O O O O O C O O O O O O F O O O O O O O O
886	Með því að beina stuðningi stjórnvalda við húsnæðiskaupendur frá vaxtabótakerfinu yfir í að heimila fólki að nýta séreignasparnað til að kaupa fyrstu íbúð er verið að beina stuðningnum frá þeim tekjulægri til þeirra tekjuhærri .	með því að beina stuðningi stjórnvalda við húsnæðiskaupendur frá vaxtabótakerfinu yfir í að heimila fólki að nýta séreignasparnað til að kaupa fyrstu íbúð er verið að beina stuðningnum frá þeim tekjulægri til þeirra tekjuhærri	með því að beina stuðningi stjórnvalda við húsnæðiskaupendur frá vaxtabótakerfinu yfir í að fólki heimila nýta að séreignasparnað til að kaupa fyrstu íbúð er beina verið að stuðningnum frá þeim tekjulægri til þeirra tekjuhærri	O O O C O O O O O O O O O O F F O O O O C O O C F F O O O O O O O O	með því að stuðningi stjórnvalda verið við húsnæðiskaupendur frá vaxtabótakerfinu yfir í að heimila fólki beina að séreignasparnað beina til að kaupa fyrstu íbúð nýta er að stuðningnum frá þeim tekjulægri til þeirra tekjuhærri	O O O O O F O O O O O O O C O F O O F O O C O O F C O O O O O O O O
