idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
403	Verkefnisstjórnin hóf störf árið 2013 og er hlutverk hennar að veita ráðherra ráðgjöf um vernd og orkunýtingu landsvæða .	verkefnisstjórnin hóf störf árið 2013 og er hlutverk hennar að veita ráðherra ráðgjöf um vernd og orkunýtingu landsvæða	O C O O O O C O O O C O O O O O O O	verkefnisstjórnin hóf störf árið 2013 og er hlutverk hennar veita að ráðherra ráðgjöf um vernd og orkunýtingu landsvæða	O C O O O O C O O F O O O O O O O O
404	Annað mál kom á borð lögreglunnar á Sauðárkróki um ellefuleytið í gærkvöldi þegar útafakstur varð á þjóðvegi eitt .	annað mál kom á borð lögreglunnar á sauðárkróki um ellefuleytið í gærkvöldi þegar útafakstur varð á þjóðvegi eitt	O O C O O O O O O O O O O O C O O O	annað mál á borð kom lögreglunnar á sauðárkróki um ellefuleytið í gærkvöldi þegar útafakstur á þjóðvegi eitt varð	O O O O F O O O O O O O O O O O O F
405	Þetta eru svo mörg mál og margir málaflokkar , ég veit ekki hvað ég ætti sérstaklega nefna .	þetta eru svo mörg mál og margir málaflokkar ég veit ekki hvað ég ætti sérstaklega nefna	O C O O O O O O O C O O O O C C	þetta eru svo mörg mál og margir málaflokkar ég veit ekki nefna hvað ætti ég sérstaklega	O C O O O O O O O C O F O C O O
406	Árangur , gagnsæi og ábyrgð einkenna íslenska þróunarsamvinnu	árangur gagnsæi og ábyrgð einkenna íslenska þróunarsamvinnu	O O O O C O O	árangur gagnsæi og ábyrgð einkenna íslenska þróunarsamvinnu	O O O O C O O
407	Ihor Kopyshynskyi var markahæstur Akureyringa með sex mörk .	ihor kopyshynskyi var markahæstur akureyringa með sex mörk	O O C O O O O O	ihor var kopyshynskyi markahæstur akureyringa með sex mörk	O F O O O O O O
408	Minnist hún á Hatara í þessu samhengi .	minnist hún á hatara í þessu samhengi	C O O O O O O	hún á hatara minnist í þessu samhengi	O O O F O O O
409	Tæknibyltingin er að gjörbreyta okkar daglega lífi .	tæknibyltingin er að gjörbreyta okkar daglega lífi	O C O C O O O	tæknibyltingin er gjörbreyta að okkar daglega lífi	O C F O O O O
410	Sýslumaðurinn á höfuðborgarsvæðinu hafði áður hafnað kröfunni .	sýslumaðurinn á höfuðborgarsvæðinu hafði áður hafnað kröfunni	O O O C O C O	sýslumaðurinn á höfuðborgarsvæðinu hafði áður hafnað kröfunni	O O O C O C O
411	Honum voru m.a. dæmdar bæturnar vegna tekjumissis .	honum voru m.a. dæmdar bæturnar vegna tekjumissis	O C O C O O O	honum voru m.a. bæturnar dæmdar vegna tekjumissis	O C O O F O O
412	Margir þeirra hafi jafnvel sjálfir upplifað gosið .	margir þeirra hafi jafnvel sjálfir upplifað gosið	O O C O O C O	margir þeirra jafnvel sjálfir hafi gosið upplifað	O O O O F O F
413	Hvað ertu að borða á venjulegum degi ?	hvað ertu að borða á venjulegum degi	O C O C O O O	hvað ertu að á venjulegum degi borða	O C O O O O F
414	Sema segist ekki alltaf hafa upplifað fordóma .	sema segist ekki alltaf hafa upplifað fordóma	O C O O C C O	sema segist ekki alltaf hafa fordóma upplifað	O C O O C O F
415	Guðlaugur staðfesti fundinn í stöðuuppfærslu á Facebook .	guðlaugur staðfesti fundinn í stöðuuppfærslu á facebook	O C O O O O O	guðlaugur fundinn staðfesti í stöðuuppfærslu á facebook	O O F O O O O
416	Logi Einarsson , formaður Samfylkingarinnar , segir að ásakanir sem koma fram um Albertínu séu viðbjóður .	logi einarsson formaður samfylkingarinnar segir að ásakanir sem koma fram um albertínu séu viðbjóður	O O O O C O O C O O C O O O	logi einarsson segir formaður samfylkingarinnar að ásakanir sem fram koma um albertínu séu viðbjóður	O O F O O O O O O F O O C O
417	Thomas huldi ekki andlit sitt þegar hann gekk í dómsalinn eins og hann gerði í héraði .	thomas huldi ekki andlit sitt þegar hann gekk í dómsalinn eins og hann gerði í héraði	O C O O O O O C O O O O O C O O	thomas ekki huldi andlit sitt gekk þegar hann í dómsalinn eins og hann í héraði gerði	O O F O O F O O O O O O O O O F
418	Mennirnir voru fluttir á lögreglustöðina við Hverfisgötu þar sem þeir voru vistaðir í þágu rannsóknar málsins .	mennirnir voru fluttir á lögreglustöðina við hverfisgötu þar sem þeir voru vistaðir í þágu rannsóknar málsins	O C C O O O O O O O C C O O O O	mennirnir fluttir á lögreglustöðina við hverfisgötu þar voru sem þeir voru vistaðir í þágu rannsóknar málsins	O F O O O O O F O O C C O O O O
419	Framsóknarflokkurinn vill að stór alþjóðlegur viðskiptabanki verði fenginn inn á íslenskan bankamarkað til að auka samkeppni .	framsóknarflokkurinn vill að stór alþjóðlegur viðskiptabanki verði fenginn inn á íslenskan bankamarkað til að auka samkeppni	O C O O O O C O O O O C O O C O	framsóknarflokkurinn vill fenginn að stór alþjóðlegur verði viðskiptabanki inn á íslenskan bankamarkað til að samkeppni auka	O C F O O O C O O O O O O O O F
420	Samfylkingin er stærsti flokkurinn í borgarstjórn Reykjavíkur en meirihlutinn er fallinn samkvæmt úrslitum borgarstjórnarkosninga í Reykjavík .	samfylkingin er stærsti flokkurinn í borgarstjórn reykjavíkur en meirihlutinn er fallinn samkvæmt úrslitum borgarstjórnarkosninga í reykjavík	O C O O O O O O O C C O O O O O	samfylkingin er stærsti flokkurinn í borgarstjórn reykjavíkur en meirihlutinn er samkvæmt úrslitum borgarstjórnarkosninga í reykjavík fallinn	O C O O O O O O O C O O O O O F
421	Ár er liðið frá því að mannskæðast sprengjuárás í sögu Tyrklands var gerð í höfuðborginni Ankara .	ár er liðið frá því að mannskæðast sprengjuárás í sögu tyrklands var gerð í höfuðborginni ankara	O C C O O O O O O O O C C O O O	ár er liðið frá því að mannskæðast sprengjuárás í sögu tyrklands var gerð í höfuðborginni ankara	O C C O O O O O O O O C C O O O
422	Arsenal er átta stigum á eftir Leicester City þegar níu umferðir eru eftir af ensku úrvalsdeildinni .	arsenal er átta stigum á eftir leicester city þegar níu umferðir eru eftir af ensku úrvalsdeildinni	O C O O O O O O O O O C O O O O	arsenal átta stigum á er eftir leicester city þegar níu umferðir eftir eru af ensku úrvalsdeildinni	O O O O F O O O O O O O F O O O
423	Þess má geta að Hvannadalshnjúkur teygir sig 2.110 metra &#40; 6.922,5 fet &#41; upp í loftið .	þess má geta að hvannadalshnjúkur teygir sig 2.110 metra &#40; 6.922,5 fet &#41; upp í loftið	O C C O O C O O O O O O O O O O	þess geta má að hvannadalshnjúkur teygir sig 2.110 metra &#40; 6.922,5 fet &#41; upp í loftið	O F F O O C O O O O O O O O O O
424	Staða yfirmanns knattspyrnumála KSÍ var auglýst fyrir skömmu og umsóknarfrestur er útrunninn og ráðning því yfirvofandi .	staða yfirmanns knattspyrnumála ksí var auglýst fyrir skömmu og umsóknarfrestur er útrunninn og ráðning því yfirvofandi	O O O O C C O O O O C O O O O O	staða yfirmanns knattspyrnumála ksí fyrir skömmu er og umsóknarfrestur var auglýst útrunninn og ráðning því yfirvofandi	O O O O O O F O O F F O O O O O
425	Það er tækni sem við munum gera tilraunir með á næstu árum , segir Courtine .	það er tækni sem við munum gera tilraunir með á næstu árum segir courtine	O C O O O C C O O O O O C O	það tækni er sem við munum gera tilraunir með á næstu árum segir courtine	O O F O O C C O O O O O C O
426	Mánuði fyrr tilkynnti dómsmálaráðuneytið að það mæti það sem svo að ekki mætti birta nöfn umsagnaraðila .	mánuði fyrr tilkynnti dómsmálaráðuneytið að það mæti það sem svo að ekki mætti birta nöfn umsagnaraðila	O O C O O O C O O O O O C C O O	mánuði fyrr tilkynnti dómsmálaráðuneytið að mæti það það sem svo að ekki mætti birta nöfn umsagnaraðila	O O C O O F O O O O O O C C O O
427	Um er að ræða nítján lög í heildina og ansi skemmtileg dægradvöl fyrir alla unnendur Bítlanna .	um er að ræða nítján lög í heildina og ansi skemmtileg dægradvöl fyrir alla unnendur bítlanna	O C O O O O O O O O O C O O O O	um og ræða að nítján lög í heildina ansi skemmtileg dægradvöl fyrir alla unnendur er bítlanna	O O F O O O O O O O O O O O F O
428	Með aðalhlutverk í þessum vinsælu grínþáttum fara þau Saga Garðarsdóttir , Steindi Jr. , Auðunn Blöndal og Sverrir Þór Sverrisson .	með aðalhlutverk í þessum vinsælu grínþáttum fara þau saga garðarsdóttir steindi jr. auðunn blöndal og sverrir þór sverrisson	O O O O O O C O O O O O O O O O O O	með aðalhlutverk fara í þessum vinsælu grínþáttum þau saga garðarsdóttir steindi jr. auðunn blöndal og sverrir þór sverrisson	O O F O O O O O O O O O O O O O O O
429	Líklega munu 40% nýrra starfsmanna í ferðaþjónustunni á þessu ári og því næsta koma erlendis frá .	líklega munu 40% nýrra starfsmanna í ferðaþjónustunni á þessu ári og því næsta koma erlendis frá	O C O O O O O O O O O O O C O O	líklega 40% nýrra starfsmanna í ferðaþjónustunni koma á þessu ári og því næsta erlendis frá munu	O O O O O O F O O O O O O O O F
430	Hvernig á lítill strákur að bregðast við því að mamma hans verði aldrei aftur með honum ?	hvernig á lítill strákur að bregðast við því að mamma hans verði aldrei aftur með honum	O C O O O C O O O O O C O O O O	hvernig á lítill strákur að við því bregðast að mamma hans verði aldrei aftur með honum	O C O O O O O F O O O C O O O O
431	Ólympíuþorpið lítur nokkuð glæsilega út á myndum en það kostaði Ástrala einn og hálfan milljarð dala .	ólympíuþorpið lítur nokkuð glæsilega út á myndum en það kostaði ástrala einn og hálfan milljarð dala	O C O O O O O O O C O O O O O O	ólympíuþorpið nokkuð lítur glæsilega út á myndum en það kostaði ástrala einn og hálfan milljarð dala	O O F O O O O O O C O O O O O O
432	Samkvæmt upplýsingum Þjóðskrár hækkaði íbúðaverð á höfuðborgarsvæðinu um tæp tuttugu og þrjú prósent á síðustu tólf mánuðum .	samkvæmt upplýsingum þjóðskrár hækkaði íbúðaverð á höfuðborgarsvæðinu um tæp tuttugu og þrjú prósent á síðustu tólf mánuðum	O O O C O O O O O O O O O O O O O	samkvæmt upplýsingum þjóðskrár íbúðaverð á höfuðborgarsvæðinu um tæp hækkaði tuttugu og þrjú prósent á síðustu tólf mánuðum	O O O O O O O O F O O O O O O O O
433	Trump hótaði því að halda stofnununum lokuðum í mánuði eða ár fái hann ekki sínu framgengt .	trump hótaði því að halda stofnununum lokuðum í mánuði eða ár fái hann ekki sínu framgengt	O C O O C O C O O O O C O O O C	trump hótaði því að halda stofnununum lokuðum í mánuði eða ár fái hann framgengt ekki sínu	O C O O C O C O O O O C O F O O
434	Hins vegar verður safnað fyrir barkaspeglunartæki sem auðveldar barkaþræðingu hjá mikið slösuðum og veikum sjúklingum á bráðamóttöku .	hins vegar verður safnað fyrir barkaspeglunartæki sem auðveldar barkaþræðingu hjá mikið slösuðum og veikum sjúklingum á bráðamóttöku	O O C C O O O C O O O O O O O O O	hins vegar verður safnað fyrir barkaspeglunartæki sem barkaþræðingu hjá mikið slösuðum og veikum sjúklingum auðveldar á bráðamóttöku	O O C C O O O O O O O O O O F O O
435	Fram kemur á vef Veðurstofunnar að stofnunin haldi úti sólarhringsvakt þar sem fylgst er með jarðskjálftamælum .	fram kemur á vef veðurstofunnar að stofnunin haldi úti sólarhringsvakt þar sem fylgst er með jarðskjálftamælum	O C O O O O O C O O O O C C O O	fram á vef kemur veðurstofunnar að haldi stofnunin úti sólarhringsvakt þar fylgst sem með jarðskjálftamælum er	O O O F O O F O O O O F O O O F
436	Það eigi ekki að vera verk listamannsins að tryggja eða að þurfa að sannreyna verk sín .	það eigi ekki að vera verk listamannsins að tryggja eða að þurfa að sannreyna verk sín	O C O O C O O O C O O C O C O O	það eigi ekki að vera verk listamannsins að tryggja eða að þurfa að sannreyna verk sín	O C O O C O O O C O O C O C O O
437	Lilja hefur látið töluvert til sín taka frá því að hún settist í mennta- og menningarmálaráðuneytið .	lilja hefur látið töluvert til sín taka frá því að hún settist í mennta- og menningarmálaráðuneytið	O C C O O O O O C O O C O O O O	lilja látið hefur taka töluvert til sín frá því að hún í mennta- og menningarmálaráðuneytið settist	O F F F O O O O O O O O O O O F
438	Árið 1948 braust út farsótt á Akureyri , Akureyrarveikin svokallaða , 465 veiktust , 7% íbúa .	árið 1948 braust út farsótt á akureyri akureyrarveikin svokallaða 465 veiktust 7% íbúa	O O C O O O O O O O C O O	árið 1948 út braust farsótt á akureyri akureyrarveikin svokallaða 465 veiktust 7% íbúa	O O O F O O O O O O C O O
439	Árásarmaðurinn , öfgamaðurinn Jeremy Joseph Christian , 35 ára gamall , réðst fyrst á stúlkurnar tvær .	árásarmaðurinn öfgamaðurinn jeremy joseph christian 35 ára gamall réðst fyrst á stúlkurnar tvær	O O O O O O O O C O O O O	árásarmaðurinn öfgamaðurinn jeremy joseph christian 35 ára gamall fyrst réðst á stúlkurnar tvær	O O O O O O O O O F O O O
440	Að sögn hans hefur fyrirtækið alla jafna reynt að greiða sem fyrst eftir að söfnun lýkur .	að sögn hans hefur fyrirtækið alla jafna reynt að greiða sem fyrst eftir að söfnun lýkur	O O O C O O O C O C O O O O O C	að sögn hans hefur fyrirtækið alla jafna reynt að sem fyrst greiða eftir lýkur að söfnun	O O O C O O O C O O O F O F O O
441	Stöðva þurfti sóknina gegn ISIS um helgina vegna slæms veðurs en hún hófst aftur í gær .	stöðva þurfti sóknina gegn isis um helgina vegna slæms veðurs en hún hófst aftur í gær	C O O O O O O O O O C O C O O O	stöðva þurfti sóknina gegn isis um helgina vegna slæms veðurs en hún aftur í hófst gær	C C O O O O O O O O O O O O F O
442	Ég held meira að segja með íslenska landsliðinu , það er eitt besta landsliðið í Skandinavíu .	ég held meira að segja með íslenska landsliðinu það er eitt besta landsliðið í skandinavíu	O C O O O O O O O C O O O O O	ég meira að segja held með íslenska landsliðinu það eitt besta landsliðið í skandinavíu er	O O O O F O O O O O O O O O F
443	Þér væri líka frjálst að móðgast fyrir hönd vísindamanna , kvenna , samkynhneigðra og nýfæddra barna .	þér væri líka frjálst að móðgast fyrir hönd vísindamanna kvenna samkynhneigðra og nýfæddra barna	O C O O O C O O O O O O O O	þér væri líka frjálst að móðgast fyrir hönd vísindamanna kvenna samkynhneigðra og nýfæddra barna	O C O O O C O O O O O O O O
444	Slökkviliðið var kallað að fjölbýlishúsi í Kópavogi á níunda tímanum í kvöld vegna elds í íbúð .	slökkviliðið var kallað að fjölbýlishúsi í kópavogi á níunda tímanum í kvöld vegna elds í íbúð	O C C O O O O O O O O O O O O O	slökkviliðið að fjölbýlishúsi í kópavogi á níunda tímanum í kvöld vegna elds var kallað í íbúð	O O O O O O O O O O O O F F O O
445	Á þessum tíma ól hann enn með sér alheimsfrægðardrauminn , eins og hann orðaði það síðar .	á þessum tíma ól hann enn með sér alheimsfrægðardrauminn eins og hann orðaði það síðar	O O O C O O O O O O O O C O O	á þessum tíma ól hann enn með sér alheimsfrægðardrauminn eins og hann orðaði það síðar	O O O C O O O O O O O O C O O
446	Sumir tala í svefni og aðrir jafnvel ganga í svefni .	sumir tala í svefni og aðrir jafnvel ganga í svefni	O C O O O O O C O O	sumir í svefni og tala aðrir jafnvel ganga í svefni	O O O O F O O C O O
447	Hann lést 9. febrúar 2016 á líknardeild Landspítalans í Kópavogi .	hann lést 9. febrúar 2016 á líknardeild landspítalans í kópavogi	O C O O O O O O O O	hann 9. lést febrúar 2016 á líknardeild landspítalans í kópavogi	O O F O O O O O O O
448	Það er greinilega mikil eftirspurn eftir tónleikum akkúrat hérna .	það er greinilega mikil eftirspurn eftir tónleikum akkúrat hérna	O C O O O O O O O	það er greinilega mikil eftirspurn eftir tónleikum akkúrat hérna	O C O O O O O O O
449	Myndskeið af atvikinu er hægt að sjá hér að neðan .	myndskeið af atvikinu er hægt að sjá hér að neðan	O O O C O O C O O O	myndskeið af atvikinu er hægt að sjá hér að neðan	O O O C O O C O O O
450	Seinni úttektir Isavia og verkfræðistofunnar Eflu breyttu þar engu um .	seinni úttektir isavia og verkfræðistofunnar eflu breyttu þar engu um	O O O O O O C O O O	seinni úttektir isavia og verkfræðistofunnar eflu breyttu þar engu um	O O O O O O C O O O
451	Fáir fóru sviknir heim eftir þetta kvöld og enginn þurr .	fáir fóru sviknir heim eftir þetta kvöld og enginn þurr	O C O O O O O O O C	fáir heim sviknir eftir þetta kvöld og enginn þurr fóru	O O C O O O O O O F
452	Í þeirra huga væri ekkert skjól í útlöndum nema skattaskjól .	í þeirra huga væri ekkert skjól í útlöndum nema skattaskjól	O O O C O O O O O O	í þeirra huga væri ekkert skjól í útlöndum nema skattaskjól	O O O C O O O O O O
453	Þar komu m.a. fram áhyggjur heilbrigðisfulltrúa af aukinni notkun nagladekkja .	þar komu m.a. fram áhyggjur heilbrigðisfulltrúa af aukinni notkun nagladekkja	O C O O O O O O O O	þar komu m.a. fram áhyggjur heilbrigðisfulltrúa af aukinni notkun nagladekkja	O C O O O O O O O O
454	Það er ef barnið er yfir höfuð að fá þjónustu .	það er ef barnið er yfir höfuð að fá þjónustu	O O O O C O O O C O	það er ef barnið er yfir höfuð að þjónustu fá	O O O O C O O O O F
455	Það verður rannsakað hvort þarna eru seiði næsta sumar .	það verður rannsakað hvort þarna eru seiði næsta sumar	O C C O O C O O O	það verður rannsakað hvort þarna seiði næsta sumar eru	O C C O O O O O F
456	Hrafn Kristjánsson þjálfari Stjörnunnar var ánægður með þær framfarir sem liðið sýndi frá því í síðustu leikjum og sagði að þrátt fyrir slakan varnarleik í fyrri hálfleik hefði hann lagast mikið eftir því sem leið á leikinn .	hrafn kristjánsson þjálfari stjörnunnar var ánægður með þær framfarir sem liðið sýndi frá því í síðustu leikjum og sagði að þrátt fyrir slakan varnarleik í fyrri hálfleik hefði hann lagast mikið eftir því sem leið á leikinn	O O O O C O O O O O O O C O O O O O C O O O O O O O O C O C O O O O C O O	hrafn kristjánsson þjálfari stjörnunnar var ánægður með þær framfarir sem liðið sýndi frá því í síðustu leikjum og sagði lagast að þrátt fyrir slakan varnarleik hefði í fyrri hálfleik hann mikið eftir því leið sem á leikinn	O O O O C O O O O O O C O O O O O O C F O O O O O F O O O O O O O F O O O
457	Ég hef skrifað pistil um þetta áður og lagði þar áherslu á sambandið mitt við hundinn minn , og mikilvægi hans í mínu lífi , en núna langar mig til að benda á annan vinkil , röksemdarfærsluna .	ég hef skrifað pistil um þetta áður og lagði þar áherslu á sambandið mitt við hundinn minn og mikilvægi hans í mínu lífi en núna langar mig til að benda á annan vinkil röksemdarfærsluna	O C C O O O O O O C O O O O O O O O O O O O O O O C O O O C O O O O	ég hef pistil um þetta áður og skrifað þar áherslu á sambandið mitt lagði við hundinn minn og mikilvægi hans í mínu lífi en núna mig langar til benda að á annan vinkil röksemdarfærsluna	O C O O O O O F O O O O O F O O O O O O O O O O O O F O F O O O O O
458	Vampírur , nornir , mórar og skottur taka völdin og allir fá að vera með vegna þess að þegar maður er í dulargervi getur enginn dæmt mann fyrir húðlit , kynhneigð , umframkíló , trú eða stjórnmálaskoðun .	vampírur nornir mórar og skottur taka völdin og allir fá að vera með vegna þess að þegar maður er í dulargervi getur enginn dæmt mann fyrir húðlit kynhneigð umframkíló trú eða stjórnmálaskoðun	O O O O O C O O O C O C O O O O O O C O O C O C O O O O O O O O	vampírur nornir mórar og skottur taka völdin og allir fá að með vera vegna þess getur að þegar er maður í dæmt dulargervi enginn mann fyrir húðlit kynhneigð umframkíló trú eða stjórnmálaskoðun	O O O O O C O O O C O O F O O F O O C O O F O O O O O O O O O O
459	Hann sagði að þrátt fyrir ömurlegar uppákomur í íslenskum stjórnmálum hefðu makríll , ferðamenn og lágt olíuverð hjálpað til og margt liti betur út en ekki mætti gleyma því að það væru hópar út undan í uppganginum .	hann sagði að þrátt fyrir ömurlegar uppákomur í íslenskum stjórnmálum hefðu makríll ferðamenn og lágt olíuverð hjálpað til og margt liti betur út en ekki mætti gleyma því að það væru hópar út undan í uppganginum	O C O O O O O O O O C O O O O O C O O O O C O O O C C O O O C O O O O O	hann sagði að þrátt fyrir ömurlegar uppákomur í íslenskum stjórnmálum makríll hefðu hjálpað ferðamenn og lágt olíuverð til og margt betur liti út en mætti gleyma ekki því að það væru hópar út undan í uppganginum	O C O O O O O O O O O F F O O O O O O O O F O O F F O O O O C O O O O O
460	Við erum ágætir í byrjun leiks en svo var restin af fyrri hálfleik og byrjun seinni smá basl en síðan snúum við þessu okkur í vil og mér finnst að við hefðum átt að klára þennan leik .	við erum ágætir í byrjun leiks en svo var restin af fyrri hálfleik og byrjun seinni smá basl en síðan snúum við þessu okkur í vil og mér finnst að við hefðum átt að klára þennan leik	O C O O O O O O C O O O O O O O O O O O O C O O O O O O C O O C C O C O O	við ágætir í byrjun var leiks en svo restin erum af fyrri hálfleik og byrjun seinni smá basl en síðan snúum við þessu okkur í vil og mér finnst átt að við hefðum að klára þennan leik	O O O O F O O O O F O O O O O O O O O O C O O O O O O O C F O O F O C O O
461	Hún skrifar þessa viðhorfsbreytingu á góðæri og ný tækifæri en segir ferðamenn líka hafa haft áhrif og hjálpað Færeyingum að sjá landið frá nýjum sjónarhóli og koma auga á sérstöðu Færeyja og þau tækifæri sem séu til staðar .	hún skrifar þessa viðhorfsbreytingu á góðæri og ný tækifæri en segir ferðamenn líka hafa haft áhrif og hjálpað færeyingum að sjá landið frá nýjum sjónarhóli og koma auga á sérstöðu færeyja og þau tækifæri sem séu til staðar	O C O O O O O O O O C O O C C O O C O O C O O O O O C O O O O O O O O C O O	hún skrifar þessa viðhorfsbreytingu á góðæri og ný tækifæri en segir ferðamenn líka haft hafa áhrif og hjálpað færeyingum að sjá landið frá nýjum sjónarhóli og auga á sérstöðu færeyja og þau koma tækifæri sem séu til staðar	O C O O O O O O O O C O O F F O O C O O C O O O O O O O O O O O F O O C O O
462	Hörð mótmæli hafa ítrekað farið fram í Algeirsborg , höfuðborg Alsír frá því að Bouteflika greindi frá ákvörðun sinni og hefur yfirmaður herráðsins í Alsír krafist þess að forsetinn verði úrskurðaður óhæfur til að stýra ríkinu sökum heilsubrests .	hörð mótmæli hafa ítrekað farið fram í algeirsborg höfuðborg alsír frá því að bouteflika greindi frá ákvörðun sinni og hefur yfirmaður herráðsins í alsír krafist þess að forsetinn verði úrskurðaður óhæfur til að stýra ríkinu sökum heilsubrests	O O C O C O O O O O O O O O O C O O O C O O O O C O O O C O C O O C O O O	hörð mótmæli hafa ítrekað fram í algeirsborg höfuðborg alsír farið frá því að bouteflika greindi frá ákvörðun sinni og verði yfirmaður herráðsins í alsír þess að forsetinn hefur krafist úrskurðaður óhæfur til að ríkinu stýra sökum heilsubrests	O O C O O O O O O F O O O O C O O O O F O O O O O O O F F C O O O O F O O
463	Með tilvísun í 8. gr. samþykktar um stjórn Sveitarfélagsins Garðs , samþykkti bæjarstjórn á síðasta fundi sínum að að veita bæjarráði heimild til fullnaðarafgreiðslu mála meðan sumarleyfi bæjarstjórnar stendur yfir , frá 1. júní til 7. september 2016 .	með tilvísun í 8. gr. samþykktar um stjórn sveitarfélagsins garðs samþykkti bæjarstjórn á síðasta fundi sínum að að veita bæjarráði heimild til fullnaðarafgreiðslu mála meðan sumarleyfi bæjarstjórnar stendur yfir frá 1. júní til 7. september 2016	O O O O O O O O O O C O O O O O O O C O O O O O O O O C O O O O O O O O	með tilvísun í 8. gr. samþykktar um stjórn sveitarfélagsins garðs samþykkti bæjarstjórn á síðasta fundi sínum að að bæjarráði heimild veita til fullnaðarafgreiðslu mála meðan sumarleyfi bæjarstjórnar stendur yfir frá 1. júní til 7. september 2016	O O O O O O O O O O C O O O O O O O O O F O O O O O O C O O O O O O O O
464	Ef það á að vera blaðamannafundur með Barr væri best að hafa hann nokkrum klukkustundum eftir á daginn eftir að skýrslan er birt , og gefa blaðamönnum tækifæri á að lesa hana og móta upplýstar spurningar .	ef það á að vera blaðamannafundur með barr væri best að hafa hann nokkrum klukkustundum eftir á daginn eftir að skýrslan er birt og gefa blaðamönnum tækifæri á að lesa hana og móta upplýstar spurningar	O O C O C O O O C O O C O O O O O O O O O O C C C O O O O C O O C O O	ef það á vera að blaðamannafundur með barr væri best að hann hafa nokkrum klukkustundum eftir á daginn eftir birt að er skýrslan og gefa blaðamönnum tækifæri lesa á að hana og móta upplýstar spurningar	O O C F O O O O C O O O F O O O O O O F O C O O C O O F O O O O C O O
465	Eins gerir íslenski leikarinn Björn Hlynur Haraldsson , sem leikur Odergaard varðstjóra og eiginmann bæjarstjórans sem leikinn er af leikonunni Sofie Gråböl , ráð fyrir að hlutverk sitt verði að einhverju leyti stærra heldur en í síðustu seríu .	eins gerir íslenski leikarinn björn hlynur haraldsson sem leikur odergaard varðstjóra og eiginmann bæjarstjórans sem leikinn er af leikonunni sofie gråböl ráð fyrir að hlutverk sitt verði að einhverju leyti stærra heldur en í síðustu seríu	O C O O O O O O O O O O O O O O O O O O O O C O O O O O O C C O O O O C	eins íslenski leikarinn björn hlynur haraldsson gerir sem leikur odergaard varðstjóra og eiginmann bæjarstjórans leikinn er sem af leikonunni sofie gråböl ráð fyrir að hlutverk sitt verði að einhverju leyti stærra heldur en í síðustu seríu	O O O O O O F O C O O O O O F F O O O O O O O O O O C O O O O O O O O O
466	Fyrr á þessu ári var ákveðið að stofna nýjan mannréttindasjóð &#40; e. Human Rights and Development Trust Fund , HRDTF &#41; og endurspeglar nafn sjóðsins nú betur starf hans og hlutverk .	fyrr á þessu ári var ákveðið að stofna nýjan mannréttindasjóð &#40; e. human rights and development trust fund hrdtf &#41; og endurspeglar nafn sjóðsins nú betur starf hans og hlutverk	O O O O C C O O C O O O O O O O O O O O O C O O O O O O O O	fyrr á þessu ári var og stofna að nýjan mannréttindasjóð &#40; e. human rights and development trust fund hrdtf &#41; ákveðið endurspeglar nafn sjóðsins nú betur starf hans og hlutverk	O O O O C O F O O O O O O O O O O O O O F C O O O O O O O O
467	Með því að dreifa kynferðislegu myndefni án samþykkis þess sem í hlut á , er gerandinn að brjóta gegn kynferðislegum sjálfsákvörðunarrétti brotaþola og rétti hans til friðhelgi einkalífs .	með því að dreifa kynferðislegu myndefni án samþykkis þess sem í hlut á er gerandinn að brjóta gegn kynferðislegum sjálfsákvörðunarrétti brotaþola og rétti hans til friðhelgi einkalífs	O O O C O O O O O O O O C C O O C O O O O O O O O O O	með því að kynferðislegu myndefni dreifa án samþykkis þess sem í hlut á er gerandinn að gegn kynferðislegum sjálfsákvörðunarrétti brjóta brotaþola og rétti hans til friðhelgi einkalífs	O O O O O F O O O O O O C C O O O O O F O O O O O O O
468	Sem hvatningu fyrir lesendur á grunnskólaaldri skipuleggur mennta- og menningarmálaráðuneyti sumarlestrarleik með góðri hjálp frá Menntamálastofnun , KSÍ , samtökunum Heimili og skóli , SFA og íslenska karlalandsliðinu í fótbolta .	sem hvatningu fyrir lesendur á grunnskólaaldri skipuleggur mennta- og menningarmálaráðuneyti sumarlestrarleik með góðri hjálp frá menntamálastofnun ksí samtökunum heimili og skóli sfa og íslenska karlalandsliðinu í fótbolta	O O O O O O C O O O O O O O O O O O O O O O O O O O O	sem hvatningu fyrir lesendur á grunnskólaaldri mennta- og menningarmálaráðuneyti skipuleggur sumarlestrarleik með góðri hjálp frá menntamálastofnun ksí samtökunum heimili og skóli sfa og íslenska karlalandsliðinu í fótbolta	O O O O O O O O O F O O O O O O O O O O O O O O O O O
